rank,batch,arm,chunk_id,section_type,home_sector,home_cik,home_company_name,home_filing_date,word_count,n_source_filings,in_member_spell,home_extraction_status,home_extraction_confidence,passage_was_head_truncated,train_overlap,selfid
18,batch_01,G-N,E2CHK-15e70797e348a069,EX99_PRESS_RELEASE,tech,47217,HP INC,2019-05-23,381,1,True,OK,high,False,False,False
19,batch_01,P,E2CHK-0ce0f271a0db498d,EX99_PRESS_RELEASE,healthcare,885725,BOSTON SCIENTIFIC CORP,2016-10-26,393,1,False,OK,high,False,False,False
20,batch_01,G-N,E2CHK-9139331d59f2a3fc,EX99_PRESS_RELEASE,healthcare,78003,PFIZER INC,2023-10-31,382,2,True,FLAGGED,medium,False,True,True
21,batch_01,P,E2CHK-89e59fcfd1838f56,MDA,tech,47217,HP INC,2019-12-12,374,1,True,OK,high,False,False,False
22,batch_01,P,E2CHK-c767fe89c45aa50e,MDA,financials,315293,Aon plc,2021-02-19,376,1,False,OK,high,False,False,False
23,batch_01,P,E2CHK-2d804a444b2f09ff,MDA,energy,1163165,CONOCOPHILLIPS,2018-10-30,422,1,True,OK,high,False,False,True
24,batch_01,G-A,E2CHK-9ed330a5a63136c9,EX99_PRESS_RELEASE,financials,798354,FISERV INC,2020-08-05,387,1,False,OK,high,False,False,True
25,batch_01,P,E2CHK-d1fd9daf1bcbb960,EX99_PRESS_RELEASE,consumer,1091667,"CHARTER COMMUNICATIONS, INC. /MO/",2020-07-31,404,1,True,OK,high,False,False,True
26,batch_01,P,E2CHK-e4e6078c39f54dcb,MDA,tech,1108524,"Salesforce, Inc.",2022-08-25,377,1,True,OK,high,False,False,False
27,batch_01,G-A,E2CHK-195c4f302b0636bf,EX99_PRESS_RELEASE,tech,47217,HP INC,2026-02-24,372,1,False,FLAGGED,medium,False,False,False
28,batch_01,G-N,E2CHK-3063008745090369,EX99_PRESS_RELEASE,healthcare,310158,"Merck & Co., Inc.",2023-04-27,404,1,True,OK,high,False,False,False
29,batch_01,P,E2CHK-35bc809ea7b329f2,MDA,tech,1645590,Hewlett Packard Enterprise Co,2017-09-07,441,1,False,OK,high,False,False,False
30,batch_01,P,E2CHK-57f1f5e507653634,MDA,tech,1108524,"Salesforce, Inc.",2018-05-31,397,1,True,OK,high,False,False,False
31,batch_01,P,E2CHK-b43feaec8f15b532,EX99_PRESS_RELEASE,financials,36104,US BANCORP \DE\,2016-10-19,367,1,True,OK,high,False,False,True
32,batch_01,G-N,E2CHK-b59a71de64bc8dd2,EX99_PRESS_RELEASE,healthcare,882095,"GILEAD SCIENCES, INC.",2019-02-04,368,1,True,OK,high,False,False,True
33,batch_01,G-A,E2CHK-329aeb2738643931,EX99_PRESS_RELEASE,energy,33213,EQT Corp,2021-05-05,387,1,False,OK,high,False,False,False
34,batch_01,P,E2CHK-dd1e072a90628a46,MDA,healthcare,872589,"REGENERON PHARMACEUTICALS, INC.",2018-05-03,380,33,True,OK,high,False,False,True
35,batch_01,P,E2CHK-dfb41597a10fbecc,EX99_PRESS_RELEASE,tech,1341439,ORACLE CORP,2023-09-11,368,4,True,OK,high,False,False,True
36,batch_01,P,E2CHK-33721641585dfae7,MDA,financials,19617,JPMORGAN CHASE & CO,2025-02-14,373,2,True,OK,medium,False,True,True
37,batch_01,P,E2CHK-acfd0b27f95008e6,RISK_FACTORS,financials,86312,"TRAVELERS COMPANIES, INC.",2022-02-17,363,2,False,OK,high,False,False,False
38,batch_01,P,E2CHK-4ae73e0d138c26d6,EX99_PRESS_RELEASE,energy,1061219,ENTERPRISE PRODUCTS PARTNERS L.P.,2019-07-31,399,2,True,OK,high,False,False,True
39,batch_01,G-A,E2CHK-0d399f1a44b9ff50,EX99_PRESS_RELEASE,consumer,354950,"HOME DEPOT, INC.",2020-05-19,365,1,True,OK,high,False,False,True
40,batch_01,P,E2CHK-b07a012e3e8ea9d9,EX99_PRESS_RELEASE,financials,19617,JPMORGAN CHASE & CO,2022-04-13,432,3,True,OK,high,False,False,False
41,batch_02,P,E2CHK-172fa46a881240b8,MDA,healthcare,731766,UNITEDHEALTH GROUP INC,2023-05-03,679,3,True,OK,high,False,True,False
42,batch_02,P,E2CHK-29ac271263df3df6,RISK_FACTORS,financials,1099590,MERCADOLIBRE INC,2017-02-24,374,1,False,FLAGGED,low,False,False,True
43,batch_02,P,E2CHK-4a09f1e27e3728d1,MDA,energy,1539838,"Diamondback Energy, Inc.",2020-05-08,390,1,False,OK,high,False,False,False
44,batch_02,P,E2CHK-53c7e256395f4d8f,MDA,financials,86312,"TRAVELERS COMPANIES, INC.",2025-04-16,367,6,False,OK,high,False,False,True
45,batch_02,P,E2CHK-bcbc336fcdc592a8,MDA,tech,1596532,"Arista Networks, Inc.",2018-08-08,391,1,False,OK,high,False,False,False
46,batch_02,P,E2CHK-88e6b4cd70890339,RISK_FACTORS,tech,1564408,Snap Inc,2023-07-26,370,2,False,OK,high,False,False,True
47,batch_02,P,E2CHK-fefe96f00b0ea62b,EX99_PRESS_RELEASE,healthcare,310764,STRYKER CORP,2020-04-30,411,12,True,OK,high,False,False,False
48,batch_02,G-A,E2CHK-87f57fbbc1cc2552,EX99_PRESS_RELEASE,healthcare,1555280,Zoetis Inc.,2020-08-06,359,2,True,OK,high,False,False,True
49,batch_02,P,E2CHK-47b59f02a9d04e58,RISK_FACTORS,tech,1564408,Snap Inc,2019-02-06,495,11,False,OK,high,False,False,True
50,batch_02,P,E2CHK-393f0304159e7889,MDA,consumer,60667,LOWES COMPANIES INC,2019-04-02,366,1,False,OK,high,False,False,False
51,batch_02,P,E2CHK-3a0b7583ac8b8576,MDA,consumer,829224,STARBUCKS CORP,2022-02-01,385,1,True,OK,high,False,False,True
52,batch_02,P,E2CHK-e3275402293c7fcd,MDA,tech,1108524,"Salesforce, Inc.",2023-11-30,974,1,True,OK,high,False,False,False
53,batch_02,G-A,E2CHK-48fb63493724f20b,EX99_PRESS_RELEASE,tech,1058290,COGNIZANT TECHNOLOGY SOLUTIONS CORP,2025-10-29,366,3,False,OK,high,False,False,False
54,batch_02,P,E2CHK-abdb9939c188bdd9,MDA,financials,1404912,KKR & Co. Inc.,2015-11-05,462,6,False,OK,high,False,False,False
55,batch_02,P,E2CHK-1590b0e6ab37b7ec,EX99_PRESS_RELEASE,consumer,1001250,ESTEE LAUDER COMPANIES INC,2017-05-03,417,1,False,OK,high,False,False,False
56,batch_02,G-N,E2CHK-00117e52ac2439f5,EX99_PRESS_RELEASE,consumer,31462,ECOLAB INC.,2016-05-03,379,1,False,OK,high,False,False,False
57,batch_02,P,E2CHK-f81e3b8d6f822db5,MDA,financials,1633917,"PayPal Holdings, Inc.",2019-02-07,448,4,True,OK,high,False,False,True
58,batch_02,P,E2CHK-201551dd7e7402f9,MDA,financials,886982,GOLDMAN SACHS GROUP INC,2019-02-26,363,2,True,OK,high,False,False,False
59,batch_02,P,E2CHK-c139014881563565,EX99_PRESS_RELEASE,financials,86312,"TRAVELERS COMPANIES, INC.",2026-01-21,377,1,False,OK,high,False,False,False
60,batch_02,P,E2CHK-449091ac3604b0b8,MDA,financials,886982,GOLDMAN SACHS GROUP INC,2024-05-03,355,4,True,OK,high,False,True,False
61,batch_02,P,E2CHK-0bb11031c6b11b44,EX99_PRESS_RELEASE,tech,1652044,Alphabet Inc.,2025-07-23,375,1,True,OK,high,False,True,True
62,batch_02,G-A,E2CHK-d9f61da52aae4de1,EX99_PRESS_RELEASE,healthcare,310158,"Merck & Co., Inc.",2022-04-28,387,1,True,FLAGGED,medium,False,False,True
63,batch_02,P,E2CHK-3740473cb4963ab2,EX99_PRESS_RELEASE,financials,315293,Aon plc,2023-07-28,357,1,False,OK,high,False,False,True
64,batch_02,P,E2CHK-2a22fec2e02a07c5,MDA,financials,1633917,"PayPal Holdings, Inc.",2022-02-03,388,5,True,OK,high,False,False,False
65,batch_02,G-N,E2CHK-3d8d81d5cbe61eea,EX99_PRESS_RELEASE,financials,86312,"TRAVELERS COMPANIES, INC.",2025-07-17,401,2,False,OK,high,False,False,False
66,batch_02,P,E2CHK-7135ee2f5472798a,RISK_FACTORS,tech,789019,MICROSOFT CORP,2019-04-24,356,6,True,OK,high,False,True,False
67,batch_02,G-A,E2CHK-f03ac52ac0c52612,EX99_PRESS_RELEASE,consumer,63908,MCDONALDS CORP,2020-04-30,354,1,True,FLAGGED,medium,False,False,False
68,batch_02,P,E2CHK-da79ee3a68b6f33b,RISK_FACTORS,financials,927628,CAPITAL ONE FINANCIAL CORP,2026-02-19,397,1,False,OK,high,False,False,True
69,batch_02,P,E2CHK-5a146f06e6a88b39,MDA,tech,1326801,"Meta Platforms, Inc.",2018-07-26,425,6,True,OK,high,False,False,False
70,batch_02,G-N,E2CHK-abb5c701902a9312,EX99_PRESS_RELEASE,financials,70858,BANK OF AMERICA CORP /DE/,2023-01-13,526,1,True,OK,high,False,False,True
71,batch_02,G-N,E2CHK-3d88cb8be0efa81b,EX99_PRESS_RELEASE,financials,1543151,"Uber Technologies, Inc",2024-10-31,354,1,True,OK,high,False,False,True
72,batch_02,P,E2CHK-edf87b2927bbfe56,EX99_PRESS_RELEASE,financials,1393818,Blackstone Inc.,2023-10-19,365,1,False,OK,high,True,False,False
73,batch_02,P,E2CHK-afff31715a26e99a,EX99_PRESS_RELEASE,energy,1373835,Spectra Energy Corp.,2016-02-03,391,1,False,OK,high,False,False,False
74,batch_02,P,E2CHK-77c46216c8b8d81c,MDA,financials,713676,"PNC FINANCIAL SERVICES GROUP, INC.",2015-11-05,376,1,False,FLAGGED,medium,False,False,True
75,batch_02,P,E2CHK-14fd6824e0d8dca2,MDA,consumer,63908,MCDONALDS CORP,2015-11-04,363,15,False,OK,high,False,False,False
76,batch_02,P,E2CHK-f9432f5f81cbaf38,RISK_FACTORS,consumer,89800,SHERWIN WILLIAMS CO,2022-02-17,446,1,False,OK,high,False,False,False
77,batch_02,P,E2CHK-54bfd57dab0bd838,EX99_PRESS_RELEASE,tech,804328,QUALCOMM INC/DE,2019-07-31,367,1,True,FLAGGED,medium,False,False,False
78,batch_02,G-A,E2CHK-1cd95351e98782f0,EX99_PRESS_RELEASE,consumer,37996,FORD MOTOR CO,2018-04-25,390,1,False,FLAGGED,medium,False,False,True
79,batch_02,P,E2CHK-9e741f22d43db9dc,MDA,financials,1099219,METLIFE INC,2018-03-01,362,1,True,OK,high,False,False,False
80,batch_02,G-N,E2CHK-bca3b03f7b2bff0c,EX99_PRESS_RELEASE,consumer,1103982,"Mondelez International, Inc.",2018-10-29,374,1,True,OK,high,False,False,False
81,batch_03,P,E2CHK-029cacf977677928,MDA,healthcare,1682852,"Moderna, Inc.",2019-05-09,404,2,False,FLAGGED,medium,False,False,True
82,batch_03,G-A,E2CHK-179659419a317bb8,EX99_PRESS_RELEASE,healthcare,59478,ELI LILLY & Co,2021-12-15,399,1,True,FLAGGED,medium,False,False,True
83,batch_03,P,E2CHK-2242ad1a4dcf8dc6,MDA,tech,712515,ELECTRONIC ARTS INC.,2021-05-26,135,1,True,OK,high,False,False,False
84,batch_03,G-A,E2CHK-e8130f4d89611677,EX99_PRESS_RELEASE,tech,1108524,"Salesforce, Inc.",2021-05-27,401,1,True,OK,high,False,False,False
85,batch_03,P,E2CHK-0ff998b6c50a9346,RISK_FACTORS,healthcare,872589,"REGENERON PHARMACEUTICALS, INC.",2021-11-04,407,2,True,OK,high,False,False,False
86,batch_03,G-A,E2CHK-0138602f200d6bcb,EX99_PRESS_RELEASE,energy,87347,SLB LIMITED/NV,2025-07-18,363,1,True,OK,high,False,False,True
87,batch_03,P,E2CHK-73e3779070c4708b,MDA,financials,1067983,BERKSHIRE HATHAWAY INC,2024-05-06,405,4,True,OK,high,False,False,True
88,batch_03,G-A,E2CHK-3f14cf282cf504e8,EX99_PRESS_RELEASE,tech,8670,AUTOMATIC DATA PROCESSING INC,2025-04-30,415,1,True,OK,high,False,False,False
89,batch_03,P,E2CHK-ede5e91ded28ccec,EX99_PRESS_RELEASE,healthcare,318154,AMGEN INC,2021-04-27,385,2,True,OK,high,False,False,False
90,batch_03,G-A,E2CHK-2c560e160d8cc5fa,EX99_PRESS_RELEASE,consumer,829224,STARBUCKS CORP,2018-04-26,365,1,True,OK,high,False,False,True
91,batch_03,P,E2CHK-ce81df3c1d189fa0,MDA,consumer,31462,ECOLAB INC.,2020-02-28,356,1,False,FLAGGED,low,False,False,True
92,batch_03,G-A,E2CHK-550b26b892978c38,EX99_PRESS_RELEASE,healthcare,10795,BECTON DICKINSON & CO,2026-08-06,356,1,False,OK,high,False,False,True
93,batch_03,P,E2CHK-b5938d5890004829,EX99_PRESS_RELEASE,energy,1061219,ENTERPRISE PRODUCTS PARTNERS L.P.,2023-02-01,365,1,True,OK,high,False,False,True
94,batch_03,P,E2CHK-455a18a01debc20e,MDA,financials,19617,JPMORGAN CHASE & CO,2018-10-31,376,1,True,OK,high,False,False,True
95,batch_03,G-N,E2CHK-981150c4aaf1bb55,EX99_PRESS_RELEASE,consumer,77476,PEPSICO INC,2025-04-24,386,1,True,OK,high,False,False,True
96,batch_03,P,E2CHK-0a490c61fd366acd,MDA,financials,19617,JPMORGAN CHASE & CO,2024-10-30,366,1,True,OK,high,False,True,False
97,batch_03,P,E2CHK-7c64c6fdd613a5c7,MDA,financials,1099219,METLIFE INC,2019-05-08,358,1,True,OK,high,False,False,False
98,batch_03,P,E2CHK-4028f289789d161f,MDA,tech,896878,INTUIT INC.,2019-08-30,441,1,True,OK,high,False,False,True
99,batch_03,P,E2CHK-5dd027bd6846ceea,EX99_PRESS_RELEASE,tech,1045810,NVIDIA CORP,2017-02-09,372,1,False,OK,high,False,False,True
100,batch_03,G-A,E2CHK-49aba42cc836f768,EX99_PRESS_RELEASE,tech,1645590,Hewlett Packard Enterprise Co,2020-05-21,532,1,False,OK,high,False,False,True
101,batch_03,P,E2CHK-06c24ba30f05e054,EX99_PRESS_RELEASE,tech,849399,Gen Digital Inc.,2023-11-07,366,1,False,OK,high,False,False,True
102,batch_03,P,E2CHK-7cec415877164dcc,EX99_PRESS_RELEASE,healthcare,59478,ELI LILLY & Co,2022-04-28,377,4,True,FLAGGED,medium,False,False,False
103,batch_03,G-N,E2CHK-48d213746b0714d9,EX99_PRESS_RELEASE,consumer,1001250,ESTEE LAUDER COMPANIES INC,2020-08-20,438,2,False,OK,high,False,False,False
104,batch_03,G-A,E2CHK-6696be4c00546807,EX99_PRESS_RELEASE,healthcare,885725,BOSTON SCIENTIFIC CORP,2020-01-14,368,1,True,FLAGGED,medium,False,False,False
105,batch_03,P,E2CHK-ebf630ae3d0d7af0,EX99_PRESS_RELEASE,healthcare,1156039,"Elevance Health, Inc.",2025-04-22,384,1,True,FLAGGED,medium,False,False,False
106,batch_03,P,E2CHK-2d7441c53c60f4c0,RISK_FACTORS,consumer,27419,TARGET CORP,2019-03-13,403,3,False,OK,high,False,False,True
107,batch_03,P,E2CHK-c977a4bb6d59c876,MDA,financials,1137774,PRUDENTIAL FINANCIAL INC,2017-05-05,363,1,True,OK,high,False,False,True
108,batch_03,P,E2CHK-f6a23b28398da366,MDA,financials,19617,JPMORGAN CHASE & CO,2021-08-02,394,1,True,OK,high,False,False,False
109,batch_03,P,E2CHK-bb7411e77a7defc8,MDA,tech,1596532,"Arista Networks, Inc.",2021-08-03,396,2,False,OK,high,False,False,False
110,batch_03,G-A,E2CHK-fe194dd32c53c66e,EX99_PRESS_RELEASE,energy,107263,"WILLIAMS COMPANIES, INC.",2021-05-03,389,1,True,OK,high,False,False,True
111,batch_03,G-A,E2CHK-d04e735f336c15ab,EX99_PRESS_RELEASE,consumer,1618921,"Walgreens Boots Alliance, Inc.",2025-06-26,391,1,False,FLAGGED,medium,False,False,False
112,batch_03,G-N,E2CHK-b40217ffa63a7cc5,EX99_PRESS_RELEASE,healthcare,875320,VERTEX PHARMACEUTICALS INC / MA,2017-04-27,382,1,False,OK,high,False,False,False
113,batch_03,P,E2CHK-dda4c12bfebdaf25,MDA,energy,34088,EXXON MOBIL CORP,2025-02-19,406,1,True,OK,medium,False,True,True
114,batch_03,P,E2CHK-bc8f68735967cd5a,MDA,financials,1099219,METLIFE INC,2018-08-07,364,14,True,OK,high,False,False,True
115,batch_03,P,E2CHK-9d439514c919670f,EX99_PRESS_RELEASE,financials,72971,WELLS FARGO & COMPANY/MN,2018-07-13,380,1,True,OK,high,False,False,True
116,batch_03,G-A,E2CHK-0d980c1e7832cb26,EX99_PRESS_RELEASE,healthcare,875320,VERTEX PHARMACEUTICALS INC / MA,2026-02-12,405,2,True,OK,high,False,False,True
117,batch_03,P,E2CHK-040942506845bb80,EX99_PRESS_RELEASE,tech,97476,TEXAS INSTRUMENTS INC,2019-10-22,141,2,True,FLAGGED,medium,False,False,False
118,batch_03,P,E2CHK-3908a11bb590546a,MDA,healthcare,927653,MCKESSON CORP,2015-10-29,442,2,False,OK,high,False,False,True
119,batch_03,P,E2CHK-1cf736b21f979401,EX99_PRESS_RELEASE,consumer,1413329,Philip Morris International Inc.,2022-04-21,391,1,True,OK,high,False,False,False
120,batch_03,G-N,E2CHK-19cbfdfda539b797,EX99_PRESS_RELEASE,energy,1552000,MPLX LP,2017-04-27,351,1,False,FLAGGED,medium,False,False,True
121,batch_04,P,E2CHK-19ad521422007e91,RISK_FACTORS,tech,813672,CADENCE DESIGN SYSTEMS INC,2015-07-27,414,229,False,OK,high,False,True,False
122,batch_04,P,E2CHK-a225b4072d490e6c,MDA,healthcare,875045,BIOGEN INC.,2025-05-01,359,3,False,OK,high,False,False,False
123,batch_04,P,E2CHK-1b61fb852a9073cf,RISK_FACTORS,financials,1099590,MERCADOLIBRE INC,2025-02-21,420,2,False,OK,high,False,False,False
124,batch_04,P,E2CHK-bc038b02a2c83033,EX99_PRESS_RELEASE,financials,1099590,MERCADOLIBRE INC,2025-02-20,739,1,False,OK,high,False,False,True
125,batch_04,P,E2CHK-5d8161de3b3f9c3b,MDA,financials,927628,CAPITAL ONE FINANCIAL CORP,2025-05-07,360,3,False,OK,high,False,False,True
126,batch_04,G-N,E2CHK-a9f86731756ad5f6,EX99_PRESS_RELEASE,consumer,104169,Walmart Inc.,2023-11-16,369,1,True,OK,high,False,True,True
127,batch_04,P,E2CHK-0e5a3607c3c9800c,RISK_FACTORS,energy,1038357,PIONEER NATURAL RESOURCES CO,2022-02-22,400,2,True,OK,high,False,False,True
128,batch_04,G-A,E2CHK-53e99d12cc4a1b19,EX99_PRESS_RELEASE,energy,1039684,ONEOK INC /NEW/,2017-10-31,360,1,False,OK,high,False,False,True
129,batch_04,P,E2CHK-31b8211bed9cfbbd,MDA,healthcare,310764,STRYKER CORP,2026-02-11,354,1,True,OK,high,False,False,False
130,batch_04,G-N,E2CHK-4cdb7b3bd5bdbf68,EX99_PRESS_RELEASE,financials,70858,BANK OF AMERICA CORP /DE/,2020-10-14,541,1,True,OK,high,True,False,True
131,batch_04,P,E2CHK-af6972d4c50c8ae4,RISK_FACTORS,healthcare,200406,JOHNSON & JOHNSON,2017-02-27,398,4,True,OK,high,False,False,False
132,batch_04,P,E2CHK-dd331ef2080052ca,RISK_FACTORS,healthcare,14272,BRISTOL MYERS SQUIBB CO,2021-02-10,402,1,True,OK,high,False,False,False
133,batch_04,P,E2CHK-ecd2ca41b77ee42f,EX99_PRESS_RELEASE,financials,19617,JPMORGAN CHASE & CO,2021-07-13,173,1,True,OK,high,False,False,True
134,batch_04,G-N,E2CHK-a57195ed78f3ce4a,EX99_PRESS_RELEASE,energy,1276187,Energy Transfer LP,2020-05-11,387,2,False,FLAGGED,medium,False,False,False
135,batch_04,P,E2CHK-6f6b16b9fef5ebe1,EX99_PRESS_RELEASE,tech,1418091,"TWITTER, INC.",2019-10-24,400,1,True,OK,high,False,False,False
136,batch_04,P,E2CHK-612ed6e9da9b6228,MDA,financials,1156375,CME GROUP INC.,2026-02-26,382,1,True,OK,high,False,False,False
137,batch_04,G-A,E2CHK-590c3420f7ec83ae,EX99_PRESS_RELEASE,consumer,1618921,"Walgreens Boots Alliance, Inc.",2022-10-13,363,1,False,FLAGGED,medium,False,False,True
138,batch_04,G-A,E2CHK-2dcd9a2066668174,EX99_PRESS_RELEASE,tech,1326801,"Meta Platforms, Inc.",2021-01-27,504,4,True,OK,high,False,False,False
139,batch_04,P,E2CHK-6d6cbe1c97c42ece,MDA,financials,92230,TRUIST FINANCIAL CORP,2016-04-29,362,6,False,OK,high,False,False,False
140,batch_04,P,E2CHK-c089f2181e437662,MDA,financials,5272,"AMERICAN INTERNATIONAL GROUP, INC.",2022-11-02,358,1,False,OK,high,False,False,False
141,batch_04,G-A,E2CHK-77f9908e5dafd434,EX99_PRESS_RELEASE,tech,1645590,Hewlett Packard Enterprise Co,2021-06-01,353,1,False,OK,high,False,False,True
142,batch_04,P,E2CHK-449e8722b0f09e0f,RISK_FACTORS,tech,2488,ADVANCED MICRO DEVICES INC,2022-08-03,420,7,True,OK,high,False,False,False
143,batch_04,P,E2CHK-c27d0b89e44af924,EX99_PRESS_RELEASE,tech,47217,HP INC,2019-08-22,377,1,True,OK,high,False,False,False
144,batch_04,G-A,E2CHK-6dff99229d098d2a,EX99_PRESS_RELEASE,tech,813672,CADENCE DESIGN SYSTEMS INC,2023-07-24,431,1,False,OK,high,False,False,True
145,batch_04,P,E2CHK-dd50b2c4f9f94871,MDA,consumer,109198,TJX COMPANIES INC /DE/,2018-04-04,383,1,True,FLAGGED,low,False,False,True
146,batch_04,P,E2CHK-d97abfc5a21f6bad,MDA,tech,6951,APPLIED MATERIALS INC /DE,2020-05-21,351,1,True,OK,high,False,False,True
147,batch_04,G-A,E2CHK-4b9157b50c939a1c,EX99_PRESS_RELEASE,healthcare,882095,"GILEAD SCIENCES, INC.",2021-01-11,356,1,True,FLAGGED,medium,False,False,True
148,batch_04,P,E2CHK-4fba9689f1451f83,EX99_PRESS_RELEASE,consumer,1103982,"Mondelez International, Inc.",2016-04-27,374,2,False,OK,high,False,False,False
149,batch_04,G-A,E2CHK-35b96df4fe0b07b7,EX99_PRESS_RELEASE,consumer,829224,STARBUCKS CORP,2021-07-27,397,1,True,OK,high,False,False,True
150,batch_04,G-N,E2CHK-f307072f2f01f95c,EX99_PRESS_RELEASE,healthcare,78003,PFIZER INC,2021-05-04,392,2,True,OK,high,False,False,True
151,batch_04,P,E2CHK-7cb0f09c65a20a4d,EX99_PRESS_RELEASE,consumer,109198,TJX COMPANIES INC /DE/,2023-11-15,374,1,False,OK,high,False,False,True
152,batch_04,P,E2CHK-5349d923bae4dbc4,MDA,healthcare,200406,JOHNSON & JOHNSON,2023-02-16,395,1,True,OK,high,False,False,False
153,batch_04,P,E2CHK-764c32ef6b23e214,RISK_FACTORS,tech,849399,Gen Digital Inc.,2025-08-13,401,3,False,OK,high,False,False,True
154,batch_04,P,E2CHK-75e59541bf13eef1,MDA,energy,93410,CHEVRON CORP,2020-02-21,415,1,True,OK,high,False,False,True
155,batch_04,G-N,E2CHK-2683c59700eec6d3,EX99_PRESS_RELEASE,tech,50863,INTEL CORP,2021-01-14,409,1,True,FLAGGED,medium,False,False,True
156,batch_04,G-A,E2CHK-9ad4bde75766e863,EX99_PRESS_RELEASE,healthcare,701221,Cigna Holding Co,2017-11-02,364,1,False,OK,high,False,False,True
157,batch_04,P,E2CHK-edde638aa45bde93,MDA,energy,1039684,ONEOK INC /NEW/,2019-05-01,435,5,True,OK,high,False,False,False
158,batch_04,P,E2CHK-f543a4e7fa46e6a9,EX99_PRESS_RELEASE,healthcare,1800,ABBOTT LABORATORIES,2021-10-20,357,1,True,OK,high,False,False,True
159,batch_04,P,E2CHK-e43b2a29330089de,EX99_PRESS_RELEASE,energy,1539838,"Diamondback Energy, Inc.",2024-02-12,384,1,True,FLAGGED,medium,False,False,False
160,batch_04,P,E2CHK-a88fc19db7efd8fd,RISK_FACTORS,energy,34088,EXXON MOBIL CORP,2019-02-27,370,1,True,FLAGGED,low,False,False,True
161,batch_05,P,E2CHK-c05ee28d8225d0e1,EX99_PRESS_RELEASE,healthcare,318154,AMGEN INC,2020-07-28,367,1,True,OK,high,False,False,True
162,batch_05,P,E2CHK-13ebd9ae899dd431,MDA,financials,1571949,"Intercontinental Exchange, Inc.",2021-04-29,389,15,True,OK,high,False,False,False
163,batch_05,G-N,E2CHK-3274b39619182ca1,EX99_PRESS_RELEASE,tech,718877,"Activision Blizzard, Inc.",2015-11-03,422,1,False,OK,high,False,False,True
164,batch_05,P,E2CHK-13118269fc011a43,MDA,consumer,764180,"ALTRIA GROUP, INC.",2022-02-25,408,1,True,OK,high,False,False,True
165,batch_05,P,E2CHK-8c2d90c779858e69,MDA,financials,1404912,KKR & Co. Inc.,2018-08-03,460,1,False,OK,high,False,False,False
166,batch_05,P,E2CHK-92b5ae844ca9544a,MDA,financials,70858,BANK OF AMERICA CORP /DE/,2021-02-24,420,1,True,OK,high,False,False,True
