cik,company_name,accession_number,filing_date,quarter,quarter_cell_size,section_type,results_signature_present,gate_level,words,prose_word_share,verdict,verdict_note
12927,BOEING CO,0000012927-24-000079,2024-10-23,2024Q4,2,EX99_PRESS_RELEASE,True,WARN_MULTI,3890,0.3342,,
14272,BRISTOL MYERS SQUIBB CO,0000014272-22-000112,2022-04-29,2022Q2,2,EX99_PRESS_RELEASE,True,WARN_MULTI,6359,0.5248,,
18230,CATERPILLAR INC,0000018230-18-000277,2018-10-23,2018Q4,2,EX99_PRESS_RELEASE,True,WARN_MULTI,9912,0.3514,,
18230,CATERPILLAR INC,0000018230-18-000280,2018-10-23,2018Q4,2,EX99_PRESS_RELEASE,True,WARN_MULTI,9912,0.3514,,
18230,CATERPILLAR INC,0000018230-24-000047,2024-10-11,2024Q4,2,EX99_PRESS_RELEASE,True,WARN_MULTI,862,0.9188,,
18230,CATERPILLAR INC,0000018230-24-000050,2024-10-30,2024Q4,2,EX99_PRESS_RELEASE,True,WARN_MULTI,8370,0.2895,,
24741,CORNING INC /NY,0001437749-24-023825,2024-07-30,2024Q3,2,EX99_PRESS_RELEASE,True,WARN_MULTI,6217,0.4226,,
27419,TARGET CORP,0000027419-26-000009,2026-02-11,2026Q1,2,EX99_PRESS_RELEASE,True,WARN_MULTI,522,0.7184,,
27419,TARGET CORP,0000027419-26-000012,2026-03-03,2026Q1,2,EX99_PRESS_RELEASE,True,WARN_MULTI,4134,0.4344,,
30554,"EIDP, Inc.",0000030554-15-000081,2015-10-27,2015Q4,2,EX99_PRESS_RELEASE,True,WARN_MULTI,6273,0.3195,,
31462,ECOLAB INC.,0001104659-16-088135,2016-01-05,2016Q1,3,EX99_PRESS_RELEASE,True,WARN_MULTI,1229,0.8389,,
31462,ECOLAB INC.,0001104659-16-099071,2016-02-23,2016Q1,3,EX99_PRESS_RELEASE,True,WARN_MULTI,5634,0.6565,,
31462,ECOLAB INC.,0001558370-17-003223,2017-05-02,2017Q2,2,EX99_PRESS_RELEASE,True,WARN_MULTI,5496,0.5804,,
31462,ECOLAB INC.,0001558370-18-000180,2018-01-23,2018Q1,2,EX99_PRESS_RELEASE,True,WARN_MULTI,2322,0.8936,,
31462,ECOLAB INC.,0001558370-18-000772,2018-02-20,2018Q1,2,EX99_PRESS_RELEASE,True,WARN_MULTI,6912,0.5175,,
31462,ECOLAB INC.,0001558370-18-003587,2018-05-01,2018Q2,2,EX99_PRESS_RELEASE,True,WARN_MULTI,5944,0.5562,,
31462,ECOLAB INC.,0001558370-19-000341,2019-02-04,2019Q1,2,EX99_PRESS_RELEASE,True,WARN_MULTI,3143,0.8521,,
31462,ECOLAB INC.,0001558370-19-000728,2019-02-19,2019Q1,2,EX99_PRESS_RELEASE,True,WARN_MULTI,7066,0.518,,
31462,ECOLAB INC.,0001558370-19-003538,2019-04-30,2019Q2,2,EX99_PRESS_RELEASE,True,WARN_MULTI,5671,0.5114,,
31462,ECOLAB INC.,0001104659-26-032446,2026-03-20,2026Q1,3,EX99_PRESS_RELEASE,True,WARN_MULTI,2144,0.0,,
32604,EMERSON ELECTRIC CO,0000032604-16-000101,2016-11-01,2016Q4,2,EX99_PRESS_RELEASE,True,WARN_MULTI,3892,0.4964,,
32604,EMERSON ELECTRIC CO,0000032604-17-000042,2017-11-07,2017Q4,2,EX99_PRESS_RELEASE,True,WARN_MULTI,3262,0.4286,,
32604,EMERSON ELECTRIC CO,0000032604-19-000024,2019-08-06,2019Q3,2,EX99_PRESS_RELEASE,True,WARN_MULTI,3116,0.4718,,
32604,EMERSON ELECTRIC CO,0000032604-19-000040,2019-10-01,2019Q4,2,EX99_PRESS_RELEASE,True,WARN_MULTI,707,0.8161,,
32604,EMERSON ELECTRIC CO,0000032604-19-000045,2019-11-05,2019Q4,2,EX99_PRESS_RELEASE,True,WARN_MULTI,3488,0.3443,,
32604,EMERSON ELECTRIC CO,0000032604-21-000033,2021-11-03,2021Q4,2,EX99_PRESS_RELEASE,True,WARN_MULTI,4163,0.2724,,
32604,EMERSON ELECTRIC CO,0000950103-22-018712,2022-10-31,2022Q4,2,EX99_PRESS_RELEASE,True,WARN_MULTI,5298,0.0,,
32604,EMERSON ELECTRIC CO,0001193125-23-133091,2023-05-03,2023Q2,3,EX99_PRESS_RELEASE,True,WARN_MULTI,4712,0.0,,
32604,EMERSON ELECTRIC CO,0000032604-25-000079,2025-11-05,2025Q4,2,EX99_PRESS_RELEASE,True,WARN_MULTI,4996,0.1713,,
33213,EQT Corp,0001104659-19-002596,2019-01-22,2019Q1,2,EX99_PRESS_RELEASE,True,WARN_MULTI,2605,0.7086,,
33213,EQT Corp,0000033213-19-000004,2019-02-14,2019Q1,2,EX99_PRESS_RELEASE,True,WARN_MULTI,6925,0.4771,,
33213,EQT Corp,0000033213-20-000004,2020-02-27,2020Q1,2,EX99_PRESS_RELEASE,True,WARN_MULTI,8575,0.5532,,
33213,EQT Corp,0000033213-20-000013,2020-05-07,2020Q2,2,EX99_PRESS_RELEASE,True,WARN_MULTI,5944,0.6082,,
33213,EQT Corp,0000033213-22-000020,2022-07-27,2022Q3,2,EX99_PRESS_RELEASE,True,WARN_MULTI,5996,0.5292,,
33213,EQT Corp,0000033213-22-000026,2022-10-26,2022Q4,2,EX99_PRESS_RELEASE,True,WARN_MULTI,6374,0.557,,
33213,EQT Corp,0000033213-23-000005,2023-02-15,2023Q1,2,EX99_PRESS_RELEASE,True,WARN_MULTI,7505,0.5628,,
33213,EQT Corp,0000033213-23-000014,2023-04-26,2023Q2,2,EX99_PRESS_RELEASE,True,WARN_MULTI,5942,0.6008,,
33213,EQT Corp,0000033213-23-000025,2023-07-25,2023Q3,2,EX99_PRESS_RELEASE,True,WARN_MULTI,6404,0.565,,
33213,EQT Corp,0000033213-23-000038,2023-10-25,2023Q4,2,EX99_PRESS_RELEASE,True,WARN_MULTI,6078,0.5472,,
33213,EQT Corp,0000033213-24-000005,2024-02-13,2024Q1,2,EX99_PRESS_RELEASE,True,WARN_MULTI,7547,0.5573,,
33213,EQT Corp,0000033213-24-000018,2024-04-23,2024Q2,2,EX99_PRESS_RELEASE,True,WARN_MULTI,5818,0.6085,,
33213,EQT Corp,0000033213-24-000030,2024-07-23,2024Q3,2,EX99_PRESS_RELEASE,True,WARN_MULTI,5433,0.5168,,
33213,EQT Corp,0000033213-24-000042,2024-10-29,2024Q4,2,EX99_PRESS_RELEASE,True,WARN_MULTI,6267,0.5786,,
33213,EQT Corp,0000033213-25-000008,2025-02-18,2025Q1,2,EX99_PRESS_RELEASE,True,WARN_MULTI,7911,0.5818,,
33213,EQT Corp,0000033213-25-000021,2025-04-22,2025Q2,2,EX99_PRESS_RELEASE,True,WARN_MULTI,7838,0.6184,,
33213,EQT Corp,0000033213-25-000030,2025-07-22,2025Q3,2,EX99_PRESS_RELEASE,True,WARN_MULTI,8356,0.5212,,
33213,EQT Corp,0000033213-25-000047,2025-10-21,2025Q4,2,EX99_PRESS_RELEASE,True,WARN_MULTI,8321,0.5332,,
33213,EQT Corp,0000033213-26-000012,2026-02-17,2026Q1,2,EX99_PRESS_RELEASE,True,WARN_MULTI,9764,0.5619,,
33213,EQT Corp,0000033213-26-000028,2026-04-21,2026Q2,2,EX99_PRESS_RELEASE,True,WARN_MULTI,6163,0.4985,,
33213,EQT Corp,0000033213-26-000041,2026-07-21,2026Q3,2,EX99_PRESS_RELEASE,True,WARN_MULTI,7554,0.4923,,
34088,EXXON MOBIL CORP,0000034088-16-000053,2016-02-02,2016Q1,3,EX99_PRESS_RELEASE,True,WARN_MULTI,3016,0.0,,
34088,EXXON MOBIL CORP,0000034088-16-000060,2016-02-19,2016Q1,3,EX99_PRESS_RELEASE,True,WARN_MULTI,668,0.0,,
34088,EXXON MOBIL CORP,0000034088-17-000014,2017-01-31,2017Q1,2,EX99_PRESS_RELEASE,True,WARN_MULTI,3926,0.0,,
34088,EXXON MOBIL CORP,0000034088-17-000019,2017-02-23,2017Q1,2,EX99_PRESS_RELEASE,True,WARN_MULTI,678,0.0,,
34088,EXXON MOBIL CORP,0000034088-18-000006,2018-02-02,2018Q1,2,EX99_PRESS_RELEASE,True,WARN_MULTI,4888,0.0,,
34088,EXXON MOBIL CORP,0000034088-18-000012,2018-02-09,2018Q1,2,EX99_PRESS_RELEASE,True,WARN_MULTI,883,0.0,,
34088,EXXON MOBIL CORP,0000034088-19-000002,2019-02-01,2019Q1,2,EX99_PRESS_RELEASE,True,WARN_MULTI,4203,0.0,,
34088,EXXON MOBIL CORP,0000034088-19-000007,2019-02-26,2019Q1,2,EX99_PRESS_RELEASE,True,WARN_MULTI,702,0.0,,
37996,FORD MOTOR CO,0000037996-19-000008,2019-01-23,2019Q1,2,EX99_PRESS_RELEASE,True,WARN_MULTI,6309,1.0,,
45012,HALLIBURTON CO,0000045012-16-000288,2016-04-25,2016Q2,2,8K_BODY,True,WARN_MULTI,4658,0.8566,,
45012,HALLIBURTON CO,0000045012-16-000290,2016-05-03,2016Q2,2,8K_BODY,True,WARN_MULTI,3021,0.5002,,
47217,HP INC,0001140361-26-003514,2026-02-03,2026Q1,2,EX99_PRESS_RELEASE,True,WARN_MULTI,1197,0.2749,,
47217,HP INC,0000047217-26-000009,2026-02-24,2026Q1,2,EX99_PRESS_RELEASE,True,WARN_MULTI,7958,0.5667,,
49071,HUMANA INC,0001193125-15-267065,2015-07-29,2015Q3,2,EX99_PRESS_RELEASE,True,WARN_MULTI,7637,0.0491,,
49071,HUMANA INC,0001193125-16-456375,2016-02-10,2016Q1,2,EX99_PRESS_RELEASE,True,WARN_MULTI,1346,0.1226,,
49071,HUMANA INC,0000049071-24-000007,2024-01-25,2024Q1,2,EX99_PRESS_RELEASE,True,WARN_MULTI,4123,0.47,,
50863,INTEL CORP,0001193125-21-009142,2021-01-14,2021Q1,2,EX99_PRESS_RELEASE,True,WARN_MULTI,1181,0.0694,,
50863,INTEL CORP,0000050863-21-000009,2021-01-21,2021Q1,2,EX99_PRESS_RELEASE,True,WARN_MULTI,5761,0.4727,,
51143,INTERNATIONAL BUSINESS MACHINES CORP,0001104659-15-051905,2015-07-20,2015Q3,2,8K_BODY,True,WARN_MULTI,9618,0.6619,,
51143,INTERNATIONAL BUSINESS MACHINES CORP,0001104659-15-071368,2015-10-19,2015Q4,2,8K_BODY,True,WARN_MULTI,9291,0.6688,,
51143,INTERNATIONAL BUSINESS MACHINES CORP,0001104659-16-090410,2016-01-19,2016Q1,3,8K_BODY,True,WARN_MULTI,10599,0.6897,,
51143,INTERNATIONAL BUSINESS MACHINES CORP,0001104659-16-112120,2016-04-18,2016Q2,2,8K_BODY,True,WARN_MULTI,6801,0.7239,,
51143,INTERNATIONAL BUSINESS MACHINES CORP,0001104659-20-113260,2020-10-08,2020Q4,2,EX99_PRESS_RELEASE,True,WARN_MULTI,1838,0.0,,
51143,INTERNATIONAL BUSINESS MACHINES CORP,0001558370-20-011556,2020-10-19,2020Q4,2,EX99_PRESS_RELEASE,True,WARN_MULTI,4100,0.2005,,
51143,INTERNATIONAL BUSINESS MACHINES CORP,0001558370-21-013312,2021-10-20,2021Q4,2,EX99_PRESS_RELEASE,True,WARN_MULTI,4548,0.2524,,
51143,INTERNATIONAL BUSINESS MACHINES CORP,0000051143-26-000077,2026-07-22,2026Q3,2,EX99_PRESS_RELEASE,True,WARN_MULTI,4223,0.2406,,
59478,ELI LILLY & Co,0000059478-17-000201,2017-10-24,2017Q4,2,EX99_PRESS_RELEASE,True,WARN_MULTI,6974,0.3641,,
59478,ELI LILLY & Co,0000059478-17-000255,2017-12-13,2017Q4,2,EX99_PRESS_RELEASE,True,WARN_MULTI,1676,0.5412,,
59478,ELI LILLY & Co,0000059478-18-000253,2018-11-06,2018Q4,2,EX99_PRESS_RELEASE,True,WARN_MULTI,7062,0.3597,,
59478,ELI LILLY & Co,0000059478-19-000269,2019-10-23,2019Q4,2,EX99_PRESS_RELEASE,True,WARN_MULTI,7142,0.3036,,
59478,ELI LILLY & Co,0000059478-19-000322,2019-12-17,2019Q4,2,EX99_PRESS_RELEASE,True,WARN_MULTI,2003,0.6066,,
59478,ELI LILLY & Co,0000059478-20-000152,2020-10-27,2020Q4,2,EX99_PRESS_RELEASE,True,WARN_MULTI,7318,0.5403,,
59478,ELI LILLY & Co,0000059478-20-000190,2020-12-15,2020Q4,2,EX99_PRESS_RELEASE,True,WARN_MULTI,2581,0.6122,,
59478,ELI LILLY & Co,0000059478-22-000130,2022-04-28,2022Q2,2,EX99_PRESS_RELEASE,True,WARN_MULTI,5475,0.5501,,
59478,ELI LILLY & Co,0000059478-22-000248,2022-11-01,2022Q4,2,EX99_PRESS_RELEASE,True,WARN_MULTI,6187,0.5033,,
59478,ELI LILLY & Co,0000059478-22-000277,2022-12-13,2022Q4,2,EX99_PRESS_RELEASE,True,WARN_MULTI,2244,0.6422,,
59478,ELI LILLY & Co,0000059478-25-000005,2025-01-14,2025Q1,2,EX99_PRESS_RELEASE,True,WARN_MULTI,1517,0.8253,,
59478,ELI LILLY & Co,0000059478-25-000037,2025-02-06,2025Q1,2,EX99_PRESS_RELEASE,True,WARN_MULTI,4076,0.564,,
63908,MCDONALDS CORP,0000063908-20-000035,2020-04-08,2020Q2,2,EX99_PRESS_RELEASE,True,WARN_MULTI,2454,0.7119,,
63908,MCDONALDS CORP,0000063908-20-000039,2020-04-30,2020Q2,2,EX99_PRESS_RELEASE,True,WARN_MULTI,1853,0.4269,,
63908,MCDONALDS CORP,0000063908-20-000066,2020-10-08,2020Q4,2,EX99_PRESS_RELEASE,True,WARN_MULTI,1196,0.6237,,
63908,MCDONALDS CORP,0000063908-20-000074,2020-11-09,2020Q4,2,EX99_PRESS_RELEASE,True,WARN_MULTI,2939,0.2691,,
64040,S&P Global Inc.,0000064040-20-000052,2020-02-06,2020Q1,2,EX99_PRESS_RELEASE,True,WARN_MULTI,7483,0.2109,,
64040,S&P Global Inc.,0000064040-22-000051,2022-02-08,2022Q1,2,EX99_PRESS_RELEASE,True,WARN_MULTI,8059,0.5037,,
64803,CVS HEALTH Corp,0000064803-15-000062,2015-10-30,2015Q4,2,EX99_PRESS_RELEASE,True,WARN_MULTI,5526,0.3945,,
64803,CVS HEALTH Corp,0000064803-18-000012,2018-02-08,2018Q1,2,EX99_PRESS_RELEASE,True,WARN_MULTI,7588,0.6405,,
64803,CVS HEALTH Corp,0000064803-22-000007,2022-02-09,2022Q1,2,EX99_PRESS_RELEASE,True,WARN_MULTI,10012,0.5002,,
64803,CVS HEALTH Corp,0000064803-23-000008,2023-02-08,2023Q1,2,EX99_PRESS_RELEASE,True,WARN_MULTI,9787,0.5065,,
64803,CVS HEALTH Corp,0000947871-24-000009,2024-01-05,2024Q1,2,EX99_PRESS_RELEASE,True,WARN_MULTI,541,0.0,,
64803,CVS HEALTH Corp,0000064803-24-000006,2024-02-07,2024Q1,2,EX99_PRESS_RELEASE,True,WARN_MULTI,10533,0.5102,,
64803,CVS HEALTH Corp,0001193125-24-239193,2024-10-18,2024Q4,2,EX99_PRESS_RELEASE,True,WARN_MULTI,1892,0.0682,,
64803,CVS HEALTH Corp,0000064803-24-000033,2024-11-06,2024Q4,2,EX99_PRESS_RELEASE,True,WARN_MULTI,8791,0.4675,,
66740,3M CO,0001104659-16-091334,2016-01-26,2016Q1,2,EX99_PRESS_RELEASE,True,WARN_MULTI,3695,0.3943,,
66740,3M CO,0001104659-17-003686,2017-01-24,2017Q1,2,EX99_PRESS_RELEASE,True,WARN_MULTI,3901,0.384,,
66740,3M CO,0001104659-18-003876,2018-01-25,2018Q1,2,EX99_PRESS_RELEASE,True,WARN_MULTI,4888,0.4532,,
66740,3M CO,0001104659-19-003838,2019-01-29,2019Q1,2,EX99_PRESS_RELEASE,True,WARN_MULTI,5407,0.4537,,
66740,3M CO,0001104659-19-023560,2019-04-25,2019Q2,2,EX99_PRESS_RELEASE,True,WARN_MULTI,4569,0.4717,,
66740,3M CO,0001104659-21-007403,2021-01-26,2021Q1,2,EX99_PRESS_RELEASE,True,WARN_MULTI,7402,0.0,,
66740,3M CO,0001558370-21-003283,2021-03-22,2021Q1,2,EX99_PRESS_RELEASE,True,WARN_MULTI,1886,0.6649,,
66740,3M CO,0000066740-22-000003,2022-01-25,2022Q1,2,EX99_PRESS_RELEASE,True,WARN_MULTI,6161,0.4439,,
66740,3M CO,0000066740-22-000030,2022-04-26,2022Q2,2,EX99_PRESS_RELEASE,True,WARN_MULTI,3733,0.3935,,
66740,3M CO,0000066740-22-000032,2022-04-26,2022Q2,2,EX99_PRESS_RELEASE,True,WARN_MULTI,5197,0.5374,,
66740,3M CO,0000066740-23-000003,2023-01-24,2023Q1,2,EX99_PRESS_RELEASE,True,WARN_MULTI,9632,0.4985,,
66740,3M CO,0000066740-23-000018,2023-02-21,2023Q1,2,EX99_PRESS_RELEASE,True,WARN_MULTI,5450,0.3217,,
70858,BANK OF AMERICA CORP /DE/,0000070858-24-000011,2024-01-12,2024Q1,2,EX99_PRESS_RELEASE,True,WARN_MULTI,10373,1.0,,
72741,EVERSOURCE ENERGY,0001104659-24-002248,2024-01-08,2024Q1,3,EX99_PRESS_RELEASE,True,WARN_MULTI,1678,0.0,,
72741,EVERSOURCE ENERGY,0001104659-24-022557,2024-02-14,2024Q1,3,EX99_PRESS_RELEASE,True,WARN_MULTI,2534,0.0,,
72741,EVERSOURCE ENERGY,0001104659-24-084368,2024-07-31,2024Q3,2,EX99_PRESS_RELEASE,True,WARN_MULTI,2302,0.0,,
72741,EVERSOURCE ENERGY,0001104659-24-104387,2024-09-30,2024Q3,2,EX99_PRESS_RELEASE,True,WARN_MULTI,1747,0.0,,
72741,EVERSOURCE ENERGY,0001104659-25-098981,2025-10-14,2025Q4,2,EX99_PRESS_RELEASE,True,WARN_MULTI,1634,0.0,,
72741,EVERSOURCE ENERGY,0001104659-25-106306,2025-11-04,2025Q4,2,EX99_PRESS_RELEASE,True,WARN_MULTI,2458,0.0,,
72741,EVERSOURCE ENERGY,0001104659-26-079426,2026-07-01,2026Q3,2,EX99_PRESS_RELEASE,True,WARN_MULTI,1746,0.0,,
72741,EVERSOURCE ENERGY,0001104659-26-088698,2026-07-30,2026Q3,2,EX99_PRESS_RELEASE,True,WARN_MULTI,2592,0.0,,
72903,XCEL ENERGY INC,0000072903-18-000006,2018-02-07,2018Q1,2,EX99_PRESS_RELEASE,True,WARN_MULTI,10055,0.5234,,
72971,WELLS FARGO & COMPANY/MN,0000072971-18-000006,2018-01-12,2018Q1,2,EX99_PRESS_RELEASE,True,WARN_MULTI,21266,0.1876,,
72971,WELLS FARGO & COMPANY/MN,0000072971-18-000305,2018-04-20,2018Q2,2,EX99_PRESS_RELEASE,True,WARN_MULTI,481,0.0,,
77476,PEPSICO INC,0000077476-16-000091,2016-07-07,2016Q3,2,EX99_PRESS_RELEASE,True,WARN_MULTI,9020,0.2876,,
77476,PEPSICO INC,0000077476-16-000103,2016-09-29,2016Q3,2,EX99_PRESS_RELEASE,True,WARN_MULTI,10297,0.2968,,
78003,PFIZER INC,0000078003-16-000056,2016-02-02,2016Q1,2,EX99_PRESS_RELEASE,True,WARN_MULTI,21620,0.312,,
78003,PFIZER INC,0000078003-22-000068,2022-05-03,2022Q2,2,EX99_PRESS_RELEASE,True,WARN_MULTI,15385,0.5356,,
78003,PFIZER INC,0000078003-23-000099,2023-10-13,2023Q4,3,EX99_PRESS_RELEASE,True,WARN_MULTI,6447,0.566,,
78003,PFIZER INC,0000078003-23-000111,2023-10-31,2023Q4,3,EX99_PRESS_RELEASE,True,WARN_MULTI,17094,0.4623,,
