accession_number,section_type,cik_n,company_name_n,form_n,filing_date_n,bucket,extraction_status_o,extraction_status_n,reason_code_o,reason_code_n,extraction_confidence_o,extraction_confidence_n,extraction_method_o,extraction_method_n,word_count_o,word_count_n
0000002969-21-000043,RISK_FACTORS,2969,"Air Products & Chemicals, Inc.",10-Q,2021-08-09,fix2_status_rename,EXPECTED_ABSENT,ITEM_ABSENT_FROM_TOC,item_absent_from_toc,item_absent_from_toc,low,low,none,none,0,0
0000002969-22-000010,RISK_FACTORS,2969,"Air Products & Chemicals, Inc.",10-Q,2022-02-04,fix2_status_rename,EXPECTED_ABSENT,ITEM_ABSENT_FROM_TOC,item_absent_from_toc,item_absent_from_toc,low,low,none,none,0,0
0000002969-22-000026,RISK_FACTORS,2969,"Air Products & Chemicals, Inc.",10-Q,2022-05-05,fix2_status_rename,EXPECTED_ABSENT,ITEM_ABSENT_FROM_TOC,item_absent_from_toc,item_absent_from_toc,low,low,none,none,0,0
0000002969-22-000038,RISK_FACTORS,2969,"Air Products & Chemicals, Inc.",10-Q,2022-08-04,fix2_status_rename,EXPECTED_ABSENT,ITEM_ABSENT_FROM_TOC,item_absent_from_toc,item_absent_from_toc,low,low,none,none,0,0
0000002969-23-000014,RISK_FACTORS,2969,"Air Products & Chemicals, Inc.",10-Q,2023-02-02,fix2_status_rename,EXPECTED_ABSENT,ITEM_ABSENT_FROM_TOC,item_absent_from_toc,item_absent_from_toc,low,low,none,none,0,0
0000002969-23-000023,RISK_FACTORS,2969,"Air Products & Chemicals, Inc.",10-Q,2023-05-09,fix2_status_rename,EXPECTED_ABSENT,ITEM_ABSENT_FROM_TOC,item_absent_from_toc,item_absent_from_toc,low,low,none,none,0,0
0000002969-23-000037,RISK_FACTORS,2969,"Air Products & Chemicals, Inc.",10-Q,2023-08-03,fix2_status_rename,EXPECTED_ABSENT,ITEM_ABSENT_FROM_TOC,item_absent_from_toc,item_absent_from_toc,low,low,none,none,0,0
0000002969-24-000010,RISK_FACTORS,2969,"Air Products & Chemicals, Inc.",10-Q,2024-02-05,fix2_status_rename,EXPECTED_ABSENT,ITEM_ABSENT_FROM_TOC,item_absent_from_toc,item_absent_from_toc,low,low,none,none,0,0
0000002969-24-000026,RISK_FACTORS,2969,"Air Products & Chemicals, Inc.",10-Q,2024-04-30,fix2_status_rename,EXPECTED_ABSENT,ITEM_ABSENT_FROM_TOC,item_absent_from_toc,item_absent_from_toc,low,low,none,none,0,0
0000002969-24-000043,RISK_FACTORS,2969,"Air Products & Chemicals, Inc.",10-Q,2024-08-01,fix2_status_rename,EXPECTED_ABSENT,ITEM_ABSENT_FROM_TOC,item_absent_from_toc,item_absent_from_toc,low,low,none,none,0,0
0000002969-25-000013,RISK_FACTORS,2969,"Air Products & Chemicals, Inc.",10-Q,2025-02-06,fix2_status_rename,EXPECTED_ABSENT,ITEM_ABSENT_FROM_TOC,item_absent_from_toc,item_absent_from_toc,low,low,none,none,0,0
0000002969-25-000027,RISK_FACTORS,2969,"Air Products & Chemicals, Inc.",10-Q,2025-05-01,fix2_status_rename,EXPECTED_ABSENT,ITEM_ABSENT_FROM_TOC,item_absent_from_toc,item_absent_from_toc,low,low,none,none,0,0
0000002969-25-000044,RISK_FACTORS,2969,"Air Products & Chemicals, Inc.",10-Q,2025-07-31,fix2_status_rename,EXPECTED_ABSENT,ITEM_ABSENT_FROM_TOC,item_absent_from_toc,item_absent_from_toc,low,low,none,none,0,0
0000002969-26-000020,RISK_FACTORS,2969,"Air Products & Chemicals, Inc.",10-Q,2026-04-30,fix2_status_rename,EXPECTED_ABSENT,ITEM_ABSENT_FROM_TOC,item_absent_from_toc,item_absent_from_toc,low,low,none,none,0,0
0000002969-26-000036,RISK_FACTORS,2969,"Air Products & Chemicals, Inc.",10-Q,2026-07-30,fix2_status_rename,EXPECTED_ABSENT,ITEM_ABSENT_FROM_TOC,item_absent_from_toc,item_absent_from_toc,low,low,none,none,0,0
0000005272-15-000009,MDA,5272,"AMERICAN INTERNATIONAL GROUP, INC.",10-Q,2015-08-03,fix1_ladder_declined,FAIL,FAIL,item_absent_from_toc,toc_recovery_declined,low,low,none,none,0,0
0000005272-15-000009,RISK_FACTORS,5272,"AMERICAN INTERNATIONAL GROUP, INC.",10-Q,2015-08-03,fix1_ladder_declined,EXPECTED_ABSENT,FAIL,item_absent_from_toc,toc_recovery_declined,low,low,none,none,0,0
0000005272-15-000018,MDA,5272,"AMERICAN INTERNATIONAL GROUP, INC.",10-Q,2015-11-02,fix1_ladder_declined,FAIL,FAIL,item_absent_from_toc,toc_recovery_declined,low,low,none,none,0,0
0000005272-15-000018,RISK_FACTORS,5272,"AMERICAN INTERNATIONAL GROUP, INC.",10-Q,2015-11-02,fix1_ladder_declined,EXPECTED_ABSENT,FAIL,item_absent_from_toc,toc_recovery_declined,low,low,none,none,0,0
0000005272-16-000035,RISK_FACTORS,5272,"AMERICAN INTERNATIONAL GROUP, INC.",10-K,2016-02-19,fix1_ladder_declined,FAIL,FAIL,item_absent_from_toc,toc_recovery_declined,low,low,none,none,0,0
0000005272-16-000041,MDA,5272,"AMERICAN INTERNATIONAL GROUP, INC.",10-Q,2016-05-02,fix1_ladder_declined,FAIL,FAIL,item_absent_from_toc,toc_recovery_declined,low,low,none,none,0,0
0000005272-16-000041,RISK_FACTORS,5272,"AMERICAN INTERNATIONAL GROUP, INC.",10-Q,2016-05-02,fix1_ladder_declined,EXPECTED_ABSENT,FAIL,item_absent_from_toc,toc_recovery_declined,low,low,none,none,0,0
0000005272-16-000046,MDA,5272,"AMERICAN INTERNATIONAL GROUP, INC.",10-Q,2016-08-02,fix1_ladder_declined,FAIL,FAIL,item_absent_from_toc,toc_recovery_declined,low,low,none,none,0,0
0000005272-16-000046,RISK_FACTORS,5272,"AMERICAN INTERNATIONAL GROUP, INC.",10-Q,2016-08-02,fix1_ladder_declined,EXPECTED_ABSENT,FAIL,item_absent_from_toc,toc_recovery_declined,low,low,none,none,0,0
0000005272-16-000052,MDA,5272,"AMERICAN INTERNATIONAL GROUP, INC.",10-Q,2016-11-03,fix1_ladder_declined,FAIL,FAIL,item_absent_from_toc,toc_recovery_declined,low,low,none,none,0,0
0000005272-16-000052,RISK_FACTORS,5272,"AMERICAN INTERNATIONAL GROUP, INC.",10-Q,2016-11-03,fix1_ladder_declined,EXPECTED_ABSENT,FAIL,item_absent_from_toc,toc_recovery_declined,low,low,none,none,0,0
0000005272-17-000024,RISK_FACTORS,5272,"AMERICAN INTERNATIONAL GROUP, INC.",10-Q,2017-05-04,fix1_ladder_declined,EXPECTED_ABSENT,FAIL,item_absent_from_toc,toc_recovery_declined,low,low,none,none,0,0
0000005272-17-000031,RISK_FACTORS,5272,"AMERICAN INTERNATIONAL GROUP, INC.",10-Q,2017-08-03,fix1_ladder_declined,EXPECTED_ABSENT,FAIL,item_absent_from_toc,toc_recovery_declined,low,low,none,none,0,0
0000005272-17-000044,RISK_FACTORS,5272,"AMERICAN INTERNATIONAL GROUP, INC.",10-Q,2017-11-03,fix1_ladder_declined,EXPECTED_ABSENT,FAIL,item_absent_from_toc,toc_recovery_declined,low,low,none,none,0,0
0000005272-18-000031,RISK_FACTORS,5272,"AMERICAN INTERNATIONAL GROUP, INC.",10-Q,2018-05-03,fix1_ladder_declined,EXPECTED_ABSENT,FAIL,item_absent_from_toc,toc_recovery_declined,low,low,none,none,0,0
0000005272-18-000037,RISK_FACTORS,5272,"AMERICAN INTERNATIONAL GROUP, INC.",10-Q,2018-08-03,fix1_ladder_declined,EXPECTED_ABSENT,FAIL,item_absent_from_toc,toc_recovery_declined,low,low,none,none,0,0
0000005272-18-000043,RISK_FACTORS,5272,"AMERICAN INTERNATIONAL GROUP, INC.",10-Q,2018-11-02,fix1_ladder_declined,EXPECTED_ABSENT,FAIL,item_absent_from_toc,toc_recovery_declined,low,low,none,none,0,0
0000005272-19-000031,RISK_FACTORS,5272,"AMERICAN INTERNATIONAL GROUP, INC.",10-Q,2019-05-07,fix1_ladder_declined,EXPECTED_ABSENT,FAIL,item_absent_from_toc,toc_recovery_declined,low,low,none,none,0,0
0000005272-23-000023,RISK_FACTORS,5272,"AMERICAN INTERNATIONAL GROUP, INC.",10-Q,2023-05-05,fix1_ladder_recovered,EXPECTED_ABSENT,FLAGGED,item_absent_from_toc,toc_recovered_f1,low,medium,none,anchor_resolving_entry,0,40
0000005272-23-000033,RISK_FACTORS,5272,"AMERICAN INTERNATIONAL GROUP, INC.",10-Q,2023-08-02,fix1_ladder_recovered,EXPECTED_ABSENT,FLAGGED,item_absent_from_toc,toc_recovered_f1,low,medium,none,anchor_resolving_entry,0,40
0000008670-15-000026,MDA,8670,AUTOMATIC DATA PROCESSING INC,10-Q,2015-11-05,fix1_ladder_recovered,FAIL,FLAGGED,item_absent_from_toc,toc_recovered_f1,low,low,none,anchor_resolving_entry,0,7946
0000008670-15-000026,RISK_FACTORS,8670,AUTOMATIC DATA PROCESSING INC,10-Q,2015-11-05,fix1_ladder_recovered,EXPECTED_ABSENT,FLAGGED,item_absent_from_toc,toc_recovered_f1,low,low,none,anchor_resolving_entry,0,37
0000008670-16-000030,MDA,8670,AUTOMATIC DATA PROCESSING INC,10-Q,2016-02-03,fix1_ladder_recovered,FAIL,FLAGGED,item_absent_from_toc,toc_recovered_f1,low,low,none,anchor_resolving_entry,0,10243
0000008670-16-000030,RISK_FACTORS,8670,AUTOMATIC DATA PROCESSING INC,10-Q,2016-02-03,fix1_ladder_recovered,EXPECTED_ABSENT,FLAGGED,item_absent_from_toc,toc_recovered_f1,low,low,none,anchor_resolving_entry,0,37
0000008670-16-000034,MDA,8670,AUTOMATIC DATA PROCESSING INC,10-Q,2016-05-05,fix1_ladder_recovered,FAIL,FLAGGED,item_absent_from_toc,toc_recovered_f1,low,low,none,anchor_resolving_entry,0,8880
0000008670-16-000034,RISK_FACTORS,8670,AUTOMATIC DATA PROCESSING INC,10-Q,2016-05-05,fix1_ladder_recovered,EXPECTED_ABSENT,FLAGGED,item_absent_from_toc,toc_recovered_f1,low,low,none,anchor_resolving_entry,0,37
0000008670-16-000059,MDA,8670,AUTOMATIC DATA PROCESSING INC,10-Q,2016-11-03,fix1_ladder_recovered,FAIL,FLAGGED,item_absent_from_toc,toc_recovered_f1,low,low,none,anchor_resolving_entry,0,7530
0000008670-16-000059,RISK_FACTORS,8670,AUTOMATIC DATA PROCESSING INC,10-Q,2016-11-03,fix1_ladder_recovered,EXPECTED_ABSENT,FLAGGED,item_absent_from_toc,toc_recovered_f1,low,low,none,anchor_resolving_entry,0,37
0000008670-17-000003,MDA,8670,AUTOMATIC DATA PROCESSING INC,10-Q,2017-02-01,fix1_ladder_recovered,FAIL,FLAGGED,item_absent_from_toc,toc_recovered_f1,low,low,none,anchor_resolving_entry,0,9873
0000008670-17-000003,RISK_FACTORS,8670,AUTOMATIC DATA PROCESSING INC,10-Q,2017-02-01,fix1_ladder_recovered,EXPECTED_ABSENT,FLAGGED,item_absent_from_toc,toc_recovered_f1,low,low,none,anchor_resolving_entry,0,37
0000008670-17-000005,MDA,8670,AUTOMATIC DATA PROCESSING INC,10-Q,2017-05-04,fix1_ladder_recovered,FAIL,FLAGGED,item_absent_from_toc,toc_recovered_f1,low,low,none,anchor_resolving_entry,0,10088
0000008670-17-000005,RISK_FACTORS,8670,AUTOMATIC DATA PROCESSING INC,10-Q,2017-05-04,fix1_ladder_recovered,EXPECTED_ABSENT,FLAGGED,item_absent_from_toc,toc_recovered_f1,low,low,none,anchor_resolving_entry,0,37
0000008670-17-000012,MDA,8670,AUTOMATIC DATA PROCESSING INC,10-Q,2017-11-02,fix1_ladder_recovered,FAIL,FLAGGED,item_absent_from_toc,toc_recovered_f1,low,low,none,anchor_resolving_entry,0,7245
0000008670-17-000012,RISK_FACTORS,8670,AUTOMATIC DATA PROCESSING INC,10-Q,2017-11-02,fix1_ladder_recovered,EXPECTED_ABSENT,FLAGGED,item_absent_from_toc,toc_recovered_f1,low,low,none,anchor_resolving_entry,0,37
0000008670-18-000003,MDA,8670,AUTOMATIC DATA PROCESSING INC,10-Q,2018-02-01,fix1_ladder_recovered,FAIL,FLAGGED,item_absent_from_toc,toc_recovered_f1,low,low,none,anchor_resolving_entry,0,9657
0000008670-18-000003,RISK_FACTORS,8670,AUTOMATIC DATA PROCESSING INC,10-Q,2018-02-01,fix1_ladder_recovered,EXPECTED_ABSENT,FLAGGED,item_absent_from_toc,toc_recovered_f1,low,low,none,anchor_resolving_entry,0,37
0000008670-18-000007,MDA,8670,AUTOMATIC DATA PROCESSING INC,10-Q,2018-05-04,fix1_ladder_recovered,FAIL,FLAGGED,item_absent_from_toc,toc_recovered_f1,low,low,none,anchor_resolving_entry,0,9847
0000008670-18-000007,RISK_FACTORS,8670,AUTOMATIC DATA PROCESSING INC,10-Q,2018-05-04,fix1_ladder_recovered,EXPECTED_ABSENT,FLAGGED,item_absent_from_toc,toc_recovered_f1,low,low,none,anchor_resolving_entry,0,37
0000008670-18-000017,MDA,8670,AUTOMATIC DATA PROCESSING INC,10-Q,2018-11-01,fix1_ladder_recovered,FAIL,FLAGGED,item_absent_from_toc,toc_recovered_f1,low,low,none,anchor_resolving_entry,0,7492
0000008670-18-000017,RISK_FACTORS,8670,AUTOMATIC DATA PROCESSING INC,10-Q,2018-11-01,fix1_ladder_recovered,EXPECTED_ABSENT,FLAGGED,item_absent_from_toc,toc_recovered_f1,low,low,none,anchor_resolving_entry,0,37
0000008670-19-000005,MDA,8670,AUTOMATIC DATA PROCESSING INC,10-Q,2019-01-31,fix1_ladder_recovered,FAIL,FLAGGED,item_absent_from_toc,toc_recovered_f1,low,low,none,anchor_resolving_entry,0,9346
0000008670-19-000005,RISK_FACTORS,8670,AUTOMATIC DATA PROCESSING INC,10-Q,2019-01-31,fix1_ladder_recovered,EXPECTED_ABSENT,FLAGGED,item_absent_from_toc,toc_recovered_f1,low,low,none,anchor_resolving_entry,0,37
0000008670-19-000013,MDA,8670,AUTOMATIC DATA PROCESSING INC,10-Q,2019-05-03,fix1_ladder_recovered,FAIL,FLAGGED,item_absent_from_toc,toc_recovered_f1,low,low,none,anchor_resolving_entry,0,9420
0000008670-19-000013,RISK_FACTORS,8670,AUTOMATIC DATA PROCESSING INC,10-Q,2019-05-03,fix1_ladder_recovered,EXPECTED_ABSENT,FLAGGED,item_absent_from_toc,toc_recovered_f1,low,low,none,anchor_resolving_entry,0,37
0000008670-19-000027,MDA,8670,AUTOMATIC DATA PROCESSING INC,10-Q,2019-11-04,fix1_ladder_recovered,FAIL,FLAGGED,item_absent_from_toc,toc_recovered_f1,low,medium,none,anchor_resolving_entry,0,6900
0000008670-19-000027,RISK_FACTORS,8670,AUTOMATIC DATA PROCESSING INC,10-Q,2019-11-04,fix1_ladder_recovered,EXPECTED_ABSENT,FLAGGED,item_absent_from_toc,toc_recovered_f1,low,low,none,anchor_resolving_entry,0,37
0000008670-20-000007,MDA,8670,AUTOMATIC DATA PROCESSING INC,10-Q,2020-01-31,fix1_ladder_recovered,FAIL,FLAGGED,item_absent_from_toc,toc_recovered_f1,low,medium,none,anchor_resolving_entry,0,8043
0000008670-20-000007,RISK_FACTORS,8670,AUTOMATIC DATA PROCESSING INC,10-Q,2020-01-31,fix1_ladder_recovered,EXPECTED_ABSENT,FLAGGED,item_absent_from_toc,toc_recovered_f1,low,low,none,anchor_resolving_entry,0,37
0000014272-16-000288,MDA,14272,BRISTOL MYERS SQUIBB CO,10-K,2016-02-12,fix2_body_heading_mark,FAIL,FAIL,item_absent_from_toc,item_absent_from_toc,low,low,none,none,0,0
0000018230-15-000266,RISK_FACTORS,18230,CATERPILLAR INC,10-Q,2015-07-31,fix2_status_rename,EXPECTED_ABSENT,ITEM_ABSENT_FROM_TOC,item_absent_from_toc,item_absent_from_toc,low,low,none,none,0,0
0000018230-15-000324,RISK_FACTORS,18230,CATERPILLAR INC,10-Q,2015-10-30,fix2_status_rename,EXPECTED_ABSENT,ITEM_ABSENT_FROM_TOC,item_absent_from_toc,item_absent_from_toc,low,low,none,none,0,0
0000018230-16-000410,MDA,18230,CATERPILLAR INC,10-K,2016-02-16,fix1_ladder_recovered,FAIL,FLAGGED,item_absent_from_toc,toc_recovered_f1,low,low,none,anchor_resolving_entry,0,25828
0000018230-16-000410,RISK_FACTORS,18230,CATERPILLAR INC,10-K,2016-02-16,fix1_ladder_recovered,FAIL,FLAGGED,item_absent_from_toc,toc_recovered_f1,low,low,none,anchor_resolving_entry,0,7818
0000018230-16-000512,RISK_FACTORS,18230,CATERPILLAR INC,10-Q,2016-05-02,fix2_status_rename,EXPECTED_ABSENT,ITEM_ABSENT_FROM_TOC,item_absent_from_toc,item_absent_from_toc,low,low,none,none,0,0
0000018230-16-000630,RISK_FACTORS,18230,CATERPILLAR INC,10-Q,2016-08-03,fix2_status_rename,EXPECTED_ABSENT,ITEM_ABSENT_FROM_TOC,item_absent_from_toc,item_absent_from_toc,low,low,none,none,0,0
0000018230-16-000715,RISK_FACTORS,18230,CATERPILLAR INC,10-Q,2016-11-02,fix2_status_rename,EXPECTED_ABSENT,ITEM_ABSENT_FROM_TOC,item_absent_from_toc,item_absent_from_toc,low,low,none,none,0,0
0000018230-17-000041,MDA,18230,CATERPILLAR INC,10-K,2017-02-15,fix1_ladder_recovered,FAIL,FLAGGED,item_absent_from_toc,toc_recovered_f1,low,low,none,anchor_resolving_entry,0,26514
0000018230-17-000041,RISK_FACTORS,18230,CATERPILLAR INC,10-K,2017-02-15,fix1_ladder_recovered,FAIL,FLAGGED,item_absent_from_toc,toc_recovered_f1,low,low,none,anchor_resolving_entry,0,7426
0000018230-17-000145,RISK_FACTORS,18230,CATERPILLAR INC,10-Q,2017-05-03,fix2_status_rename,EXPECTED_ABSENT,ITEM_ABSENT_FROM_TOC,item_absent_from_toc,item_absent_from_toc,low,low,none,none,0,0
0000018230-17-000245,RISK_FACTORS,18230,CATERPILLAR INC,10-Q,2017-08-02,fix2_status_rename,EXPECTED_ABSENT,ITEM_ABSENT_FROM_TOC,item_absent_from_toc,item_absent_from_toc,low,low,none,none,0,0
0000018230-17-000305,RISK_FACTORS,18230,CATERPILLAR INC,10-Q,2017-11-01,fix2_status_rename,EXPECTED_ABSENT,ITEM_ABSENT_FROM_TOC,item_absent_from_toc,item_absent_from_toc,low,low,none,none,0,0
0000018230-18-000042,MDA,18230,CATERPILLAR INC,10-K,2018-02-15,fix1_ladder_recovered,FAIL,FLAGGED,item_absent_from_toc,toc_recovered_f1,low,low,none,anchor_resolving_entry,0,26113
0000018230-18-000042,RISK_FACTORS,18230,CATERPILLAR INC,10-K,2018-02-15,fix1_ladder_recovered,FAIL,FLAGGED,item_absent_from_toc,toc_recovered_f1,low,low,none,anchor_resolving_entry,0,7493
0000018230-18-000136,RISK_FACTORS,18230,CATERPILLAR INC,10-Q,2018-05-02,fix2_status_rename,EXPECTED_ABSENT,ITEM_ABSENT_FROM_TOC,item_absent_from_toc,item_absent_from_toc,low,low,none,none,0,0
0000018230-18-000229,RISK_FACTORS,18230,CATERPILLAR INC,10-Q,2018-08-07,fix2_status_rename,EXPECTED_ABSENT,ITEM_ABSENT_FROM_TOC,item_absent_from_toc,item_absent_from_toc,low,low,none,none,0,0
0000018230-18-000293,RISK_FACTORS,18230,CATERPILLAR INC,10-Q,2018-10-31,fix2_status_rename,EXPECTED_ABSENT,ITEM_ABSENT_FROM_TOC,item_absent_from_toc,item_absent_from_toc,low,low,none,none,0,0
0000018230-19-000153,RISK_FACTORS,18230,CATERPILLAR INC,10-Q,2019-05-06,fix2_status_rename,EXPECTED_ABSENT,ITEM_ABSENT_FROM_TOC,item_absent_from_toc,item_absent_from_toc,low,low,none,none,0,0
0000018230-19-000224,RISK_FACTORS,18230,CATERPILLAR INC,10-Q,2019-08-01,fix2_status_rename,EXPECTED_ABSENT,ITEM_ABSENT_FROM_TOC,item_absent_from_toc,item_absent_from_toc,low,low,none,none,0,0
0000018230-19-000281,RISK_FACTORS,18230,CATERPILLAR INC,10-Q,2019-10-31,fix2_status_rename,EXPECTED_ABSENT,ITEM_ABSENT_FROM_TOC,item_absent_from_toc,item_absent_from_toc,low,low,none,none,0,0
0000021344-17-000009,MDA,21344,COCA COLA CO,10-K,2017-02-24,fix1_ladder_declined,FAIL,FAIL,item_absent_from_toc,toc_recovery_declined,low,low,none,none,0,0
0000021344-17-000009,RISK_FACTORS,21344,COCA COLA CO,10-K,2017-02-24,fix1_ladder_recovered,FAIL,FLAGGED,item_absent_from_toc,toc_recovered_f1,low,low,none,anchor_resolving_entry,0,9677
0000021344-18-000008,MDA,21344,COCA COLA CO,10-K,2018-02-23,fix1_ladder_declined,FAIL,FAIL,item_absent_from_toc,toc_recovery_declined,low,low,none,none,0,0
0000021344-18-000008,RISK_FACTORS,21344,COCA COLA CO,10-K,2018-02-23,fix1_ladder_recovered,FAIL,FLAGGED,item_absent_from_toc,toc_recovered_f1,low,low,none,anchor_resolving_entry,0,9296
0000021344-19-000014,MDA,21344,COCA COLA CO,10-K,2019-02-21,fix1_ladder_declined,FAIL,FAIL,item_absent_from_toc,toc_recovery_declined,low,low,none,none,0,0
0000021344-19-000014,RISK_FACTORS,21344,COCA COLA CO,10-K,2019-02-21,fix1_ladder_recovered,FAIL,FLAGGED,item_absent_from_toc,toc_recovered_f1,low,low,none,anchor_resolving_entry,0,10349
0000021344-20-000006,MDA,21344,COCA COLA CO,10-K,2020-02-24,fix1_ladder_declined,FAIL,FAIL,item_absent_from_toc,toc_recovery_declined,low,low,none,none,0,0
0000021344-20-000006,RISK_FACTORS,21344,COCA COLA CO,10-K,2020-02-24,fix1_ladder_recovered,FAIL,FLAGGED,item_absent_from_toc,toc_recovered_f1,low,low,none,anchor_resolving_entry,0,11198
0000024741-16-000077,MDA,24741,CORNING INC /NY,10-K,2016-02-12,fix2_body_heading_mark,FAIL,FAIL,item_absent_from_toc,item_absent_from_toc,low,low,none,none,0,0
0000024741-16-000077,RISK_FACTORS,24741,CORNING INC /NY,10-K,2016-02-12,fix2_body_heading_mark,FAIL,FAIL,item_absent_from_toc,item_absent_from_toc,low,low,none,none,0,0
0000024741-17-000011,MDA,24741,CORNING INC /NY,10-K,2017-02-06,fix2_body_heading_mark,FAIL,FAIL,item_absent_from_toc,item_absent_from_toc,low,low,none,none,0,0
0000024741-17-000011,RISK_FACTORS,24741,CORNING INC /NY,10-K,2017-02-06,fix2_body_heading_mark,FAIL,FAIL,item_absent_from_toc,item_absent_from_toc,low,low,none,none,0,0
0000024741-20-000014,MDA,24741,CORNING INC /NY,10-K,2020-02-18,fix2_body_heading_mark,FAIL,FAIL,item_absent_from_toc,item_absent_from_toc,low,low,none,none,0,0
0000024741-20-000014,RISK_FACTORS,24741,CORNING INC /NY,10-K,2020-02-18,fix2_body_heading_mark,FAIL,FAIL,item_absent_from_toc,item_absent_from_toc,low,low,none,none,0,0
0000024741-26-000124,MDA,24741,CORNING INC /NY,10-K,2026-02-12,fix2_body_heading_mark,FAIL,FAIL,item_absent_from_toc,item_absent_from_toc,low,low,none,none,0,0
0000024741-26-000124,RISK_FACTORS,24741,CORNING INC /NY,10-K,2026-02-12,fix2_body_heading_mark,FAIL,FAIL,item_absent_from_toc,item_absent_from_toc,low,low,none,none,0,0
0000032604-25-000094,EX99_PRESS_RELEASE,32604,EMERSON ELECTRIC CO,8-K,2025-11-20,fix3_garble_flag,FLAGGED,FLAGGED,earnings_population_gate,garbled_text,medium,medium,whole_document,whole_document,3109,3109
0000034088-23-000030,RISK_FACTORS,34088,EXXON MOBIL CORP,10-Q,2023-05-02,fix2_status_rename,EXPECTED_ABSENT,ITEM_ABSENT_FROM_TOC,item_absent_from_toc,item_absent_from_toc,low,low,none,none,0,0
0000034088-23-000048,RISK_FACTORS,34088,EXXON MOBIL CORP,10-Q,2023-08-01,fix2_status_rename,EXPECTED_ABSENT,ITEM_ABSENT_FROM_TOC,item_absent_from_toc,item_absent_from_toc,low,low,none,none,0,0
0000034088-23-000056,RISK_FACTORS,34088,EXXON MOBIL CORP,10-Q,2023-10-31,fix2_status_rename,EXPECTED_ABSENT,ITEM_ABSENT_FROM_TOC,item_absent_from_toc,item_absent_from_toc,low,low,none,none,0,0
0000034088-24-000029,RISK_FACTORS,34088,EXXON MOBIL CORP,10-Q,2024-04-29,fix2_status_rename,EXPECTED_ABSENT,ITEM_ABSENT_FROM_TOC,item_absent_from_toc,item_absent_from_toc,low,low,none,none,0,0
