cik,name,tickers,sector,stratum,sic,member_from,member_to,n_reconstitutions,entry_sector_rank,exit_sector_rank,median_sector_rank,median_float_usd,all_dates
92230,TRUIST FINANCIAL CORP,"TFC,TFC-PI,TFC-PO,TFC-PR",financials,core,6021,2021-07-01,2023-07-01,2,19,18,18.5,62200000000.0,False
1123360,GLOBAL PAYMENTS INC,GPN,financials,core,7389,2021-07-01,2022-07-01,1,20,20,20.0,50324272356.0,False
316709,SCHWAB CHARLES CORP,"SCHW,SCHW-PD,SCHW-PJ",financials,core,6211,2022-07-01,,5,12,10,10.0,122800000000.0,False
713676,"PNC FINANCIAL SERVICES GROUP, INC.",PNC,financials,core,6021,2022-07-01,2024-07-01,2,16,20,18.0,72700000000.0,False
1099590,MERCADOLIBRE INC,MELI,financials,core,7389,2022-07-01,2023-07-01,1,19,19,19.0,71151553526.0,False
1393612,Discover Financial Services,,financials,core,6141,2023-07-01,2024-07-01,1,12,12,12.0,82497990080.0,False
896159,Chubb Ltd,CB,financials,core,6331,2023-07-01,,4,13,15,14.0,92500000000.0,False
62709,"MARSH & MCLENNAN COMPANIES, INC.",MRSH,financials,core,6411,2023-07-01,,4,15,17,14.0,98218073834.5,False
1222333,SPDR GOLD TRUST,GLD,financials,core,6221,2023-07-01,2024-07-01,1,18,18,18.0,68128669000.0,False
80661,PROGRESSIVE CORP/OH/,PGR,financials,core,6331,2023-07-01,,4,19,12,13.5,98889631824.0,False
1543151,"Uber Technologies, Inc",UBER,financials,core,7389,2024-07-01,,3,13,9,9.0,147000000000.0,False
798354,FISERV INC,FISV,financials,core,7389,2024-07-01,,3,16,20,16.0,85486940134.0,False
315293,Aon plc,AON,financials,core,6411,2024-07-01,2025-07-01,1,18,18,18.0,70135237097.0,False
1393818,Blackstone Inc.,BX,financials,core,6282,2024-07-01,,3,20,16,16.0,88200000000.0,False
1571949,"Intercontinental Exchange, Inc.",ICE,financials,core,6200,2025-07-01,,2,17,18,17.5,91200000000.0,False
1099590,MERCADOLIBRE INC,MELI,financials,core,7389,2025-07-01,,2,18,14,16.0,100076686438.0,False
1404912,KKR & Co. Inc.,"KKR,KKR-PD,KKRS,KKRT",financials,core,6282,2025-07-01,2026-07-01,1,19,19,19.0,71400000000.0,False
927628,CAPITAL ONE FINANCIAL CORP,"COF,COF-PI,COF-PJ,COF-PK,COF-PL,COF-PN",financials,core,6021,2026-07-01,,1,13,13,13.0,135200000000.0,False
200406,JOHNSON & JOHNSON,JNJ,healthcare,core,2834,2016-07-01,,11,1,2,1.0,363000000000.0,True
78003,PFIZER INC,PFE,healthcare,core,2834,2016-07-01,,11,2,11,3.0,209000000000.0,True
310158,"Merck & Co., Inc.",MRK,healthcare,core,2834,2016-07-01,,11,3,6,4.0,196870000000.0,True
882095,"GILEAD SCIENCES, INC.",GILD,healthcare,core,2836,2016-07-01,2023-07-01,7,4,20,13.0,79506595778.0,False
1578845,Allergan plc,,healthcare,core,2834,2016-07-01,2021-07-01,5,5,17,12.0,81000000000.0,False
731766,UNITEDHEALTH GROUP INC,UNH,healthcare,core,6324,2016-07-01,,11,6,4,2.0,281771756077.0,True
14272,BRISTOL MYERS SQUIBB CO,"BMY,CELG-RI",healthcare,core,2834,2016-07-01,,11,7,16,10.0,110846810075.0,True
1551152,AbbVie Inc.,ABBV,healthcare,core,2834,2016-07-01,,11,8,3,5.0,171597270533.0,True
318154,AMGEN INC,AMGN,healthcare,core,2836,2016-07-01,,11,9,9,9.0,125649811435.0,True
875045,BIOGEN INC.,BIIB,healthcare,core,2836,2016-07-01,2020-07-01,4,10,15,15.0,57743849868.5,False
816284,CELGENE CORP /DE/,,healthcare,core,2834,2016-07-01,2020-07-01,4,11,18,12.0,83997559338.0,False
66740,3M CO,MMM,healthcare,core,3841,2016-07-01,2024-07-01,8,12,15,10.5,102950000000.0,False
59478,ELI LILLY & Co,LLY,healthcare,core,2834,2016-07-01,,11,13,1,7.0,138907000000.0,True
1800,ABBOTT LABORATORIES,ABT,healthcare,core,2834,2016-07-01,,11,14,5,7.0,157956823602.0,True
872589,"REGENERON PHARMACEUTICALS, INC.",REGN,healthcare,core,2834,2016-07-01,2019-07-01,3,15,16,16.0,50337000000.0,False
936402,Shire plc,,healthcare,core,2834,2016-07-01,2019-07-01,3,16,17,16.0,50100000000.0,False
1122304,AETNA INC /PA/,,healthcare,core,6324,2016-07-01,2019-07-01,3,17,19,17.0,43200000000.0,False
1156039,"Elevance Health, Inc.",ELV,healthcare,core,6324,2016-07-01,2017-07-01,1,18,18,18.0,42815533599.0,False
927653,MCKESSON CORP,MCK,healthcare,core,5122,2016-07-01,2018-07-01,2,19,19,19.0,40050000000.0,False
701221,Cigna Holding Co,,healthcare,core,6324,2016-07-01,2017-07-01,1,20,20,20.0,41600000000.0,False
1613103,Medtronic plc,MDT,healthcare,core,3845,2017-07-01,,10,6,12,8.5,118150000000.0,False
310764,STRYKER CORP,SYK,healthcare,core,3841,2017-07-01,,10,18,10,14.0,71414257894.0,False
1156039,"Elevance Health, Inc.",ELV,healthcare,core,6324,2018-07-01,,9,18,18,13.0,87349478366.0,False
10795,BECTON DICKINSON & CO,BDX,healthcare,core,3841,2019-07-01,2026-07-01,7,16,19,18.0,70252717647.0,False
1035267,INTUITIVE SURGICAL INC,ISRG,healthcare,core,3842,2019-07-01,,8,19,7,13.5,90050000000.0,False
885725,BOSTON SCIENTIFIC CORP,BSX,healthcare,core,3841,2019-07-01,2021-07-01,2,20,19,19.5,49050000000.0,False
1555280,Zoetis Inc.,ZTS,healthcare,core,2834,2020-07-01,,7,18,20,17.0,78673000000.0,False
1110803,"ILLUMINA, INC.",ILMN,healthcare,core,3826,2020-07-01,2021-07-01,1,20,20,20.0,48200000000.0,False
875320,VERTEX PHARMACEUTICALS INC / MA,VRTX,healthcare,core,2834,2021-07-01,2022-07-01,1,12,12,12.0,74800000000.0,False
1739940,Cigna Group,CI,healthcare,core,6324,2021-07-01,,6,14,17,15.5,82800000000.0,False
872589,"REGENERON PHARMACEUTICALS, INC.",REGN,healthcare,core,2834,2021-07-01,2022-07-01,1,19,19,19.0,63344000000.0,False
1682852,"Moderna, Inc.",MRNA,healthcare,core,2836,2022-07-01,2023-07-01,1,17,17,17.0,80800000000.0,False
1099800,Edwards Lifesciences Corp,EW,healthcare,core,3842,2022-07-01,2023-07-01,1,19,19,19.0,64028235982.0,False
875320,VERTEX PHARMACEUTICALS INC / MA,VRTX,healthcare,core,2834,2023-07-01,,4,16,13,13.5,102050000000.0,False
872589,"REGENERON PHARMACEUTICALS, INC.",REGN,healthcare,core,2834,2023-07-01,2026-07-01,3,19,14,18.0,76700000000.0,False
49071,HUMANA INC,HUM,healthcare,core,6324,2023-07-01,2024-07-01,1,20,20,20.0,59158438222.0,False
885725,BOSTON SCIENTIFIC CORP,BSX,healthcare,core,3841,2024-07-01,,3,17,8,15.0,113100000000.0,False
882095,"GILEAD SCIENCES, INC.",GILD,healthcare,core,2836,2024-07-01,2025-07-01,1,20,20,20.0,67000000000.0,False
927653,MCKESSON CORP,MCK,healthcare,core,5122,2025-07-01,,2,20,15,17.5,79000000000.0,False
882095,"GILEAD SCIENCES, INC.",GILD,healthcare,core,2836,2026-07-01,,1,14,14,14.0,103200000000.0,False
66740,3M CO,MMM,healthcare,core,3841,2026-07-01,,1,19,19,19.0,81100000000.0,False
101829,RTX Corp,RTX,industrials,extension,3724,2016-07-01,,11,1,1,3.0,112271798129.0,True
12927,BOEING CO,"BA,BA-PA",industrials,extension,3721,2016-07-01,,11,2,5,4.0,117300000000.0,True
100885,UNION PACIFIC CORP,UNP,industrials,extension,4011,2016-07-01,,11,3,10,5.0,119000000000.0,True
773840,HONEYWELL INTERNATIONAL INC,HON,industrials,extension,3724,2016-07-01,,11,4,7,4.0,118000000000.0,True
1090727,UNITED PARCEL SERVICE INC,UPS,industrials,extension,4210,2016-07-01,2025-07-01,9,5,5,5.0,76094649311.0,False
1075531,Booking Holdings Inc.,BKNG,industrials,extension,4700,2016-07-01,2023-07-01,7,6,12,8.0,80000000000.0,False
936468,LOCKHEED MARTIN CORP,LMT,industrials,extension,3760,2016-07-01,2026-07-01,10,7,11,6.5,100700000000.0,False
313616,DANAHER CORP /DE/,DHR,industrials,extension,3823,2016-07-01,,11,8,11,7.0,113200000000.0,True
97745,THERMO FISHER SCIENTIFIC INC.,TMO,industrials,extension,3829,2016-07-01,,11,9,6,4.0,138639543000.0,True
18230,CATERPILLAR INC,CAT,industrials,extension,3531,2016-07-01,,11,10,3,9.0,81200000000.0,True
40533,GENERAL DYNAMICS CORP,GD,industrials,extension,3730,2016-07-01,2017-07-01,1,11,11,11.0,41198779978.0,False
32604,EMERSON ELECTRIC CO,EMR,industrials,extension,3600,2016-07-01,2017-07-01,1,12,12,12.0,37900000000.0,False
1047122,RAYTHEON CO/,,industrials,extension,3812,2017-07-01,2020-07-01,3,11,11,11.0,46800000000.0,False
1133421,NORTHROP GRUMMAN CORP /DE/,NOC,industrials,extension,3812,2017-07-01,2018-07-01,1,12,12,12.0,39500000000.0,False
40533,GENERAL DYNAMICS CORP,GD,industrials,extension,3730,2018-07-01,2019-07-01,1,10,10,10.0,52357779347.0,False
1133421,NORTHROP GRUMMAN CORP /DE/,NOC,industrials,extension,3812,2019-07-01,2021-07-01,2,12,12,12.0,53950000000.0,False
64040,S&P Global Inc.,SPGI,industrials,extension,7320,2020-07-01,,7,11,4,8.0,113300000000.0,False
49826,ILLINOIS TOOL WORKS INC,ITW,industrials,extension,3560,2021-07-01,2022-07-01,1,12,12,12.0,55100000000.0,False
315189,DEERE & CO,DE,industrials,extension,3523,2022-07-01,,5,9,12,11.0,115295045197.0,False
1133421,NORTHROP GRUMMAN CORP /DE/,NOC,industrials,extension,3812,2023-07-01,2024-07-01,1,12,12,12.0,74000000000.0,False
1075531,Booking Holdings Inc.,BKNG,industrials,extension,4700,2024-07-01,,3,12,2,7.0,133100000000.0,False
1551182,Eaton Corp plc,ETN,industrials,extension,3590,2025-07-01,,2,9,9,9.0,131900000000.0,False
1996810,GE Vernova Inc.,GEV,industrials,extension,3600,2026-07-01,,1,8,8,8.0,144000000000.0,False
29915,DOW CHEMICAL CO /DE/,,materials_realestate,extension,2821,2016-07-01,2018-07-01,2,1,3,2.0,57450000000.0,False
30554,"EIDP, Inc.","CTA-PB,CTA-PA",materials_realestate,extension,2820,2016-07-01,2018-07-01,2,2,2,2.0,57200000000.0,False
1063761,SIMON PROPERTY GROUP INC.,"SPG,SPG-PJ",materials_realestate,extension,6798,2016-07-01,2021-07-01,5,3,5,2.0,52260000000.0,False
1489393,LyondellBasell Industries N.V.,LYB,materials_realestate,extension,2860,2016-07-01,2017-07-01,1,4,4,4.0,41800000000.0,False
1053507,AMERICAN TOWER CORP /MA/,AMT,materials_realestate,extension,6798,2016-07-01,,11,5,2,2.0,90200000000.0,True
55785,KIMBERLY CLARK CORP,KMB,materials_realestate,extension,2670,2016-07-01,2026-07-01,10,6,11,6.5,45750000000.0,False
884905,LINDE INC,,materials_realestate,extension,2810,2016-07-01,2019-07-01,3,7,4,7.0,34000000000.0,False
2969,"Air Products & Chemicals, Inc.",APD,materials_realestate,extension,2810,2016-07-01,,11,8,7,7.0,44000000000.0,True
79879,PPG INDUSTRIES INC,PPG,materials_realestate,extension,2851,2016-07-01,2020-07-01,4,9,10,9.0,27972000000.0,False
1051470,CROWN CASTLE INC.,CCI,materials_realestate,extension,6798,2016-07-01,2025-07-01,9,10,7,4.0,49200000000.0,False
906107,VIVMARK RESIDENTIAL,VMRK,materials_realestate,extension,6798,2016-07-01,2017-07-01,1,11,11,11.0,25200000000.0,False
24741,CORNING INC /NY,GLW,materials_realestate,extension,3357,2016-07-01,2017-07-01,1,12,12,12.0,24000000000.0,False
1101239,EQUINIX INC,EQIX,materials_realestate,extension,6798,2017-07-01,,10,10,5,5.0,61100000000.0,False
766704,WELLTOWER INC.,WELL,materials_realestate,extension,6798,2017-07-01,2021-07-01,4,11,9,10.5,27369133056.0,False
1045609,"Prologis, Inc.","PLD,PLDGP",materials_realestate,extension,6798,2017-07-01,,10,12,4,4.0,77700525792.0,False
1489393,LyondellBasell Industries N.V.,LYB,materials_realestate,extension,2860,2018-07-01,2020-07-01,2,11,5,8.0,31150000000.0,False
24741,CORNING INC /NY,GLW,materials_realestate,extension,3357,2018-07-01,2019-07-01,1,12,12,12.0,27000000000.0,False
106535,WEYERHAEUSER CO,WY,materials_realestate,extension,6798,2019-07-01,2020-07-01,1,9,9,9.0,28000000000.0,False
915912,AVALONBAY COMMUNITIES INC,AVB,materials_realestate,extension,6798,2019-07-01,2021-07-01,2,11,11,11.0,25967866438.0,False
1666700,"DuPont de Nemours, Inc.",DD,materials_realestate,extension,2821,2020-07-01,2022-07-01,2,1,9,5.0,95400000000.0,False
