rank,batch,chunk_id,section_type,home_ticker,word_count
37,1,CHK-44229fe8daf163b8,MDA,PFE,528
38,1,CHK-19023f47d28336a9,RISK_FACTORS,JPM,440
39,1,CHK-aa27b8137fcceeef,RISK_FACTORS,JNJ,456
40,1,CHK-01ce7d715046a026,EX99_PRESS_RELEASE,COP,184
41,2,CHK-94449cc2e2406616,MDA,JPM,508
42,2,CHK-90f40730f8c06857,MDA,UNH,375
43,2,CHK-345a9b27b337fad9,MDA,BAC,391
44,2,CHK-ab18a41358ea7b90,RISK_FACTORS,HD,379
45,2,CHK-26cb4453026e531d,MDA,PG,356
46,2,CHK-bb31ef3b9a6f9b9f,MDA,BAC,385
47,2,CHK-e27237d716eaa7ec,EX99_PRESS_RELEASE,COP,1254
48,2,CHK-a577c2ef70bba5da,RISK_FACTORS,BAC,370
49,2,CHK-8bc68653c9266e17,MDA,COP,354
50,2,CHK-17ffb0e42e7c1b91,MDA,JPM,375
51,2,CHK-300e403e3dfc3d18,MDA,COP,398
52,2,CHK-0263cb5348c47abd,MDA,BAC,401
53,2,CHK-2f21fddd69d4561e,EX99_PRESS_RELEASE,MSFT,245
54,2,CHK-77f0a241744fa48c,MDA,JNJ,412
55,2,CHK-12cd46e7623c59cb,RISK_FACTORS,WMT,443
56,2,CHK-5950f900a344f5aa,MDA,HD,400
57,2,CHK-0b054cbbb29a61a9,MDA,PG,370
58,2,CHK-06e3a009bf4dbd33,MDA,PG,389
59,2,CHK-eacf8153709cee7f,RISK_FACTORS,CVX,509
60,2,CHK-8e3b16bcc5140b99,RISK_FACTORS,NVDA,436
61,2,CHK-2d6b130dae96d639,MDA,OXY,484
62,2,CHK-91f8865d5d329ba0,RISK_FACTORS,V,359
63,2,CHK-b582444aeeddcc59,MDA,PG,466
64,2,CHK-19cafa44a097bad7,EX99_PRESS_RELEASE,UNH,352
65,2,CHK-67de3fd478fa7d03,EX99_PRESS_RELEASE,BAC,457
66,2,CHK-1cab8165170dd4f9,EX99_PRESS_RELEASE,GOOGL,383
67,2,CHK-9b3e336a83e95d61,MDA,UNH,425
68,2,CHK-c9c880cd26c93351,MDA,GS,353
69,2,CHK-692aa4234b30f0c7,MDA,KO,385
70,2,CHK-07d9a6e1debba8a1,MDA,JPM,352
71,2,CHK-6a886686cf3ff7a8,MDA,PG,445
72,2,CHK-e4299d1773883e04,EX99_PRESS_RELEASE,BAC,721
73,2,CHK-adf178eb4eb823aa,MDA,JPM,375
74,2,CHK-1cbdf24f6c1615ad,MDA,MRK,476
75,2,CHK-79134e5e4b0fdcf6,MDA,OXY,384
76,2,CHK-01b4b83aef6d859e,EX99_PRESS_RELEASE,JPM,375
77,2,CHK-afcb6a1c9c5fe757,MDA,CVX,394
78,2,CHK-1c1812ed45219a3a,MDA,OXY,429
79,2,CHK-ba781c31ceccd1f9,RISK_FACTORS,GOOGL,437
80,2,CHK-cacb9e0c97a248e7,MDA,GS,384
81,3,CHK-2d5c5f83f4360178,RISK_FACTORS,GS,351
82,3,CHK-4da9940a27679b8d,EX99_PRESS_RELEASE,OXY,201
83,3,CHK-855294845ec387b8,MDA,CVX,363
84,3,CHK-2b2c9e8bcdbf8567,MDA,BAC,351
85,3,CHK-4c63212dc2bc923f,RISK_FACTORS,WMT,615
86,3,CHK-e6a37610b8769959,MDA,PFE,421
87,3,CHK-73a21b8063017800,EX99_PRESS_RELEASE,PFE,400
88,3,CHK-0dbf6cd0276f1137,RISK_FACTORS,JNJ,437
89,3,CHK-fd959732ed4e547c,MDA,JPM,365
90,3,CHK-9dbe278905b9733e,MDA,V,392
91,3,CHK-54cb391cb43aba27,MDA,BAC,362
92,3,CHK-fb20f5ca33388a06,RISK_FACTORS,KO,536
93,3,CHK-c5911a5f95ba923b,MDA,GS,376
94,3,CHK-5010a899e6bdb21a,MDA,JPM,440
95,3,CHK-af40432f9beeb288,MDA,JNJ,360
96,3,CHK-ed5eadf97ba8d2e2,MDA,ABBV,405
97,3,CHK-98e4ed139203bc3b,MDA,GS,409
98,3,CHK-4bf0ace450e399dd,RISK_FACTORS,COP,467
99,3,CHK-a79ecbf6895f948a,MDA,JPM,448
100,3,CHK-20d940b1855c8068,MDA,PG,292
101,3,CHK-87d7f6be8a95c376,RISK_FACTORS,GS,497
102,3,CHK-99cce7d9509fc5eb,MDA,PFE,436
103,3,CHK-7b68a717b1da9409,MDA,PFE,379
104,3,CHK-71eebcbf1b698f8b,EX99_PRESS_RELEASE,CVX,392
105,3,CHK-6e267dc8121bfffd,MDA,V,372
106,3,CHK-3603a254b3447c11,MDA,JPM,383
107,3,CHK-bd9ee5eea910cb34,MDA,MA,391
108,3,CHK-3c6bb711f358f8a6,RISK_FACTORS,BAC,501
109,3,CHK-698aebf16fb16adb,MDA,NVDA,396
110,3,CHK-90b1d5fe5fb02790,MDA,GS,393
111,3,CHK-7de808f6dc942fa7,MDA,WMT,198
112,3,CHK-d798bff6f43f6d86,EX99_PRESS_RELEASE,PG,353
113,3,CHK-30d7453c61985928,RISK_FACTORS,MSFT,560
114,3,CHK-54866ae7e8cf2d6c,MDA,PFE,393
115,3,CHK-8534fb5ceb72df5d,MDA,GS,354
116,3,CHK-99d286d3d81d7e3a,RISK_FACTORS,HD,358
117,3,CHK-f09548e1be417f33,EX99_PRESS_RELEASE,PFE,384
118,3,CHK-cb17c5f070d2e6f1,MDA,WMT,401
119,3,CHK-72fe97f6760077fe,MDA,GS,352
120,3,CHK-a5b77b7a8317416e,EX99_PRESS_RELEASE,BAC,462
121,4,CHK-7793c902db2116e3,MDA,JPM,364
122,4,CHK-409c1216eab9adc5,EX99_PRESS_RELEASE,PFE,373
123,4,CHK-468c0aa690633dd1,MDA,KO,421
124,4,CHK-ef591fae885bf7ad,EX99_PRESS_RELEASE,PFE,433
125,4,CHK-403480a1dddc23de,MDA,GS,376
126,4,CHK-e85f6aad8d6e1b55,EX99_PRESS_RELEASE,XOM,373
127,4,CHK-30c5a4bf715d85f1,MDA,JPM,364
128,4,CHK-350195f4e82fd0e6,MDA,PFE,415
129,4,CHK-080a5b8208e985e5,MDA,MCD,378
130,4,CHK-0688ad8842f5c28f,EX99_PRESS_RELEASE,XOM,492
131,4,CHK-b74c6da3ee7bf9cc,EX99_PRESS_RELEASE,JNJ,430
132,4,CHK-60ea8b5c6acb2a56,MDA,GS,484
133,4,CHK-6f517fe795f8a9da,MDA,MA,230
134,4,CHK-934745364be1cb6a,RISK_FACTORS,NVDA,484
135,4,CHK-b715b0b5267c5ba5,MDA,ABBV,431
136,4,CHK-21bdba6b810a5062,RISK_FACTORS,OXY,387
137,4,CHK-7dadf21b7716c1c9,MDA,GOOGL,352
138,4,CHK-91a584ef6b2fc23a,RISK_FACTORS,AAPL,232
139,4,CHK-f8a3f57bd2c71f2f,RISK_FACTORS,MA,486
140,4,CHK-b4fa81dc066ab0b5,EX99_PRESS_RELEASE,GOOGL,239
141,4,CHK-2c97d000eddd46c5,MDA,MA,366
142,4,CHK-9f98338d398f2bfa,MDA,GS,393
143,4,CHK-911594522f0a4798,MDA,JPM,392
144,4,CHK-eb8185e18f5630a7,RISK_FACTORS,MRK,477
145,4,CHK-41d0f87f408dd14e,MDA,MRK,375
146,4,CHK-ce7990b4e2b41572,MDA,WMT,396
147,4,CHK-cc0cdc2e84d0af17,MDA,JPM,470
148,4,CHK-305a101bf35c60e7,MDA,MCD,447
149,4,CHK-ebef12cdee5ddbe6,MDA,KO,353
150,4,CHK-bed93e2ff380364c,MDA,PG,404
151,4,CHK-ae48d23bb424ea90,MDA,MA,392
152,4,CHK-709fca1998a1ccc7,RISK_FACTORS,OXY,519
153,4,CHK-fea5f68551086dd8,RISK_FACTORS,MSFT,368
154,4,CHK-c964a3cba37226b3,RISK_FACTORS,V,380
155,4,CHK-d120d9c91d3ae3ab,MDA,JPM,407
156,4,CHK-c810ec0b76f57e23,MDA,JPM,367
157,4,CHK-adea90bea439a33c,MDA,JPM,360
158,4,CHK-3e14e7fba8cbc18e,EX99_PRESS_RELEASE,JPM,336
159,4,CHK-948ccfffb6b98659,MDA,CVX,419
160,4,CHK-e922e4f7a10dad00,RISK_FACTORS,COP,382
161,5,CHK-46170d39d555b713,MDA,HD,427
162,5,CHK-acb665619cf4c201,MDA,PG,357
163,5,CHK-e5bc1110b721c9d0,MDA,BAC,380
164,5,CHK-0891458deead1084,MDA,MRK,370
165,5,CHK-6b2dda078288e7f4,MDA,JPM,403
166,5,CHK-10fa0f637d2af709,MDA,SLB,426
167,5,CHK-fb41149be5005622,MDA,CSCO,398
168,5,CHK-b9378d83465f30a4,MDA,GS,370
169,5,CHK-b98cdf202aea3da5,RISK_FACTORS,JPM,394
170,5,CHK-ec2e37a31da1680d,EX99_PRESS_RELEASE,BAC,596
171,5,CHK-dbe4ca5103ef7787,EX99_PRESS_RELEASE,MA,398
172,5,CHK-fb76d50bc8c28177,MDA,SLB,467
173,5,CHK-dfa9c00013b8da66,RISK_FACTORS,AAPL,375
174,5,CHK-ce89dc9ac38baf7a,MDA,JPM,377
175,5,CHK-22f4f718a827cfbb,MDA,GS,400
176,5,CHK-dd3eaf03ad0b5be2,RISK_FACTORS,CSCO,646
177,5,CHK-7edd7aedaa803873,EX99_PRESS_RELEASE,KO,418
178,5,CHK-d0ef61c0b55f6ba1,MDA,COP,370
179,5,CHK-ad27e454857187ed,RISK_FACTORS,MA,438
180,5,CHK-ee8fcb128ed03507,RISK_FACTORS,ABBV,395
181,5,CHK-5a868ca64fd69324,MDA,PFE,369
182,5,CHK-96872e14a41afc81,EX99_PRESS_RELEASE,BAC,1189
183,5,CHK-2d46eae9a8604ce0,RISK_FACTORS,JPM,423
184,5,CHK-e7d89e372a854602,MDA,XOM,667
185,5,CHK-cba14df4f4356898,EX99_PRESS_RELEASE,PFE,435
186,5,CHK-d2f35a326b8be475,RISK_FACTORS,MA,413
187,5,CHK-fad5e7dae193e277,MDA,JPM,373
188,5,CHK-3f638f56d6776ec0,EX99_PRESS_RELEASE,AAPL,480
189,5,CHK-75bea33f953ea32a,MDA,KO,421
190,5,CHK-42fff2c20dcf6204,MDA,MSFT,448
191,5,CHK-920de4be1d751c3e,MDA,PG,363
192,5,CHK-d8f2f91c7bbfa2cc,MDA,NVDA,366
193,5,CHK-79cc15cb7d850a44,RISK_FACTORS,GOOGL,469
194,5,CHK-3677d9e79dc81bb4,RISK_FACTORS,MA,379
195,5,CHK-d90839b449f965f3,MDA,JPM,388
196,5,CHK-b1696523cd5b4504,RISK_FACTORS,BAC,443
197,5,CHK-a1853548628ae483,EX99_PRESS_RELEASE,OXY,128
198,5,CHK-1da899d1c99d94e7,MDA,SLB,636
199,5,CHK-0884ab0ec3a75518,EX99_PRESS_RELEASE,KO,484
200,5,CHK-122484e0b932ad36,EX99_PRESS_RELEASE,BAC,748
