chunk_id,section_type,primary_tier,field,judgment,field_note,example_note,source,method
CHK-0c19b4e109fcc96c,MDA,A,sentiment,agree,,,model-auditor,
CHK-0c19b4e109fcc96c,MDA,A,red_flags,agree,,,model-auditor,
CHK-0c19b4e109fcc96c,MDA,A,distress_tier,agree,,,model-auditor,
CHK-0cb7094e692f9312,EX99_PRESS_RELEASE,B,sentiment,agree,,,model-auditor,
CHK-0cb7094e692f9312,EX99_PRESS_RELEASE,B,guidance_direction,agree,,,model-auditor,
CHK-0cb7094e692f9312,EX99_PRESS_RELEASE,B,red_flags,agree,,,model-auditor,
CHK-0cb7094e692f9312,EX99_PRESS_RELEASE,B,distress_tier,agree,,,model-auditor,
CHK-0cd21022266b6704,EX99_PRESS_RELEASE,A,sentiment,agree,,,model-auditor,
CHK-0cd21022266b6704,EX99_PRESS_RELEASE,A,guidance_direction,agree,,,model-auditor,
CHK-0cd21022266b6704,EX99_PRESS_RELEASE,A,red_flags,disagree,,,model-adjudicator,
CHK-0cd21022266b6704,EX99_PRESS_RELEASE,A,distress_tier,agree,,,model-auditor,
CHK-0d4fb5ca9c78e569,EX99_PRESS_RELEASE,B,sentiment,agree,,,model-auditor,
CHK-0d4fb5ca9c78e569,EX99_PRESS_RELEASE,B,guidance_direction,agree,,,model-auditor,
CHK-0d4fb5ca9c78e569,EX99_PRESS_RELEASE,B,red_flags,disagree,,,model-adjudicator,
CHK-0d4fb5ca9c78e569,EX99_PRESS_RELEASE,B,distress_tier,agree,,,model-auditor,
CHK-10b768034baa8331,EX99_PRESS_RELEASE,B,sentiment,agree,,,model-auditor,
CHK-10b768034baa8331,EX99_PRESS_RELEASE,B,guidance_direction,agree,,,model-auditor,
CHK-10b768034baa8331,EX99_PRESS_RELEASE,B,red_flags,agree,,,model-auditor,
CHK-10b768034baa8331,EX99_PRESS_RELEASE,B,distress_tier,agree,,,model-auditor,
CHK-10c141ea657ccfd8,MDA,B,sentiment,disagree,,,model-adjudicator,
CHK-10c141ea657ccfd8,MDA,B,red_flags,agree,,,model-auditor,
CHK-10c141ea657ccfd8,MDA,B,distress_tier,agree,,,model-auditor,
CHK-120b1f968ee6191a,RISK_FACTORS,B,red_flags,agree,,,model-auditor,
CHK-120b1f968ee6191a,RISK_FACTORS,B,distress_tier,agree,,,model-auditor,
CHK-14bf9bd81213f972,RISK_FACTORS,A,red_flags,agree,,,model-auditor,
CHK-14bf9bd81213f972,RISK_FACTORS,A,distress_tier,agree,,,model-auditor,
CHK-14cd2d5c71dd774f,RISK_FACTORS,A,red_flags,disagree,,,model-adjudicator,
CHK-14cd2d5c71dd774f,RISK_FACTORS,A,distress_tier,agree,,,model-auditor,
CHK-15093bf4b3d166ff,RISK_FACTORS,D,red_flags,disagree,owner-ratified adjudicator ruling (conf=medium): correct=TRADE_POLICY_EXPOSURE-HYPOTHETICAL; DEMAND_WEAKNESS-HYPOTHETICAL; LEGAL_REGULATORY_ACTION-REALIZED; MARGIN_COST_PRESSURE-REALIZED,,owner,bulk-ratified
CHK-15093bf4b3d166ff,RISK_FACTORS,D,distress_tier,agree,,,model-auditor,
CHK-1595d4aad51bb169,RISK_FACTORS,A,red_flags,agree,,,model-auditor,
CHK-1595d4aad51bb169,RISK_FACTORS,A,distress_tier,agree,,,model-auditor,
CHK-163cf53c6a5d68c7,MDA,B,sentiment,agree,,,model-auditor,
CHK-163cf53c6a5d68c7,MDA,B,red_flags,agree,,,model-auditor,
CHK-163cf53c6a5d68c7,MDA,B,distress_tier,agree,,,model-auditor,
CHK-16d66f458883db87,MDA,A,sentiment,agree,,,model-auditor,
CHK-16d66f458883db87,MDA,A,red_flags,agree,,,model-auditor,
CHK-16d66f458883db87,MDA,A,distress_tier,agree,,,model-auditor,
CHK-1730b1d1ffc49698,EX99_PRESS_RELEASE,B,sentiment,agree,,,model-auditor,
CHK-1730b1d1ffc49698,EX99_PRESS_RELEASE,B,guidance_direction,disagree,,,model-adjudicator,
CHK-1730b1d1ffc49698,EX99_PRESS_RELEASE,B,red_flags,agree,,,model-auditor,
CHK-1730b1d1ffc49698,EX99_PRESS_RELEASE,B,distress_tier,agree,,,model-auditor,
CHK-17591ccad12655fe,MDA,D,sentiment,agree,,,model-auditor,
CHK-17591ccad12655fe,MDA,D,red_flags,agree,,,model-auditor,
CHK-17591ccad12655fe,MDA,D,distress_tier,agree,,,model-auditor,
CHK-1810787882124c01,EX99_PRESS_RELEASE,A,sentiment,agree,,,model-auditor,
CHK-1810787882124c01,EX99_PRESS_RELEASE,A,guidance_direction,agree,,,model-auditor,
CHK-1810787882124c01,EX99_PRESS_RELEASE,A,red_flags,agree,,,model-auditor,
CHK-1810787882124c01,EX99_PRESS_RELEASE,A,distress_tier,agree,,,model-auditor,
CHK-1b3bd0967f01aef3,EX99_PRESS_RELEASE,A,sentiment,agree,,,model-auditor,
CHK-1b3bd0967f01aef3,EX99_PRESS_RELEASE,A,guidance_direction,agree,,,model-auditor,
CHK-1b3bd0967f01aef3,EX99_PRESS_RELEASE,A,red_flags,disagree,owner-ratified adjudicator ruling (conf=medium): correct=LEGAL_REGULATORY_ACTION-REALIZED; TRADE_POLICY_EXPOSURE-HYPOTHETICAL; SUPPLY_INPUT_CONSTRAINT-HYPOTHETICAL; MARGIN_COST_PRESSURE-HYPOTHETICAL,,owner,bulk-ratified
CHK-1b3bd0967f01aef3,EX99_PRESS_RELEASE,A,distress_tier,agree,,,model-auditor,
CHK-1c247a14bc2efbd7,RISK_FACTORS,A,red_flags,agree,,,model-auditor,
CHK-1c247a14bc2efbd7,RISK_FACTORS,A,distress_tier,agree,,,model-auditor,
CHK-1cd9f671d9b9a996,8K_BODY,A,sentiment,agree,,,model-auditor,
CHK-1cd9f671d9b9a996,8K_BODY,A,guidance_direction,agree,,,model-auditor,
CHK-1cd9f671d9b9a996,8K_BODY,A,red_flags,agree,,,model-auditor,
CHK-1cd9f671d9b9a996,8K_BODY,A,distress_tier,agree,,,model-auditor,
CHK-1d60a235910ad302,MDA,C,sentiment,agree,,,model-auditor,
CHK-1d60a235910ad302,MDA,C,red_flags,agree,,,model-auditor,
CHK-1d60a235910ad302,MDA,C,distress_tier,agree,,,model-auditor,
CHK-1def162ac0626a5a,RISK_FACTORS,C,red_flags,agree,,,model-auditor,
CHK-1def162ac0626a5a,RISK_FACTORS,C,distress_tier,agree,,,model-auditor,
CHK-1e6d0f12ea06dfa9,EX99_PRESS_RELEASE,B,sentiment,disagree,owner-ratified adjudicator ruling (conf=medium): correct=NEUTRAL,,owner,bulk-ratified
CHK-1e6d0f12ea06dfa9,EX99_PRESS_RELEASE,B,guidance_direction,agree,,,model-auditor,
CHK-1e6d0f12ea06dfa9,EX99_PRESS_RELEASE,B,red_flags,disagree,owner-ratified adjudicator ruling (conf=high): correct=MARGIN_COST_PRESSURE-REALIZED,,owner,bulk-ratified
CHK-1e6d0f12ea06dfa9,EX99_PRESS_RELEASE,B,distress_tier,agree,,,model-auditor,
CHK-1ee19c277857680c,EX99_PRESS_RELEASE,B,sentiment,agree,,,model-auditor,
CHK-1ee19c277857680c,EX99_PRESS_RELEASE,B,guidance_direction,agree,,,model-auditor,
CHK-1ee19c277857680c,EX99_PRESS_RELEASE,B,red_flags,disagree,,,model-adjudicator,
CHK-1ee19c277857680c,EX99_PRESS_RELEASE,B,distress_tier,agree,,,model-auditor,
CHK-1ef2d821873ab79c,EX99_PRESS_RELEASE,A,sentiment,agree,,,model-auditor,
CHK-1ef2d821873ab79c,EX99_PRESS_RELEASE,A,guidance_direction,agree,,,model-auditor,
CHK-1ef2d821873ab79c,EX99_PRESS_RELEASE,A,red_flags,disagree,owner-ratified adjudicator ruling (conf=medium): correct=TRADE_POLICY_EXPOSURE-HYPOTHETICAL; LEGAL_REGULATORY_ACTION-HYPOTHETICAL; MARGIN_COST_PRESSURE-HYPOTHETICAL; SUPPLY_INPUT_CONSTRAINT-HYPOTHETICAL,,owner,bulk-ratified
CHK-1ef2d821873ab79c,EX99_PRESS_RELEASE,A,distress_tier,agree,,,model-auditor,
CHK-1efb1e46f5dd85d4,MDA,B,sentiment,agree,,,model-auditor,
CHK-1efb1e46f5dd85d4,MDA,B,red_flags,agree,,,model-auditor,
CHK-1efb1e46f5dd85d4,MDA,B,distress_tier,agree,,,model-auditor,
CHK-20a6b53a4954df29,EX99_PRESS_RELEASE,D,sentiment,agree,,,model-auditor,
CHK-20a6b53a4954df29,EX99_PRESS_RELEASE,D,guidance_direction,agree,,,model-auditor,
CHK-20a6b53a4954df29,EX99_PRESS_RELEASE,D,red_flags,disagree,,,model-adjudicator,
CHK-20a6b53a4954df29,EX99_PRESS_RELEASE,D,distress_tier,agree,,,model-auditor,
CHK-20d940b1855c8068,MDA,A,sentiment,agree,,,model-auditor,
CHK-20d940b1855c8068,MDA,A,red_flags,agree,,,model-auditor,
CHK-20d940b1855c8068,MDA,A,distress_tier,disagree,owner-ratified adjudicator ruling (conf=high): correct=(no flags),,owner,explicit
CHK-20ff4cbbb46bfdef,RISK_FACTORS,A,red_flags,agree,,,model-auditor,
CHK-20ff4cbbb46bfdef,RISK_FACTORS,A,distress_tier,agree,,,model-auditor,
CHK-2466959db0727c06,RISK_FACTORS,A,red_flags,agree,,,model-auditor,
CHK-2466959db0727c06,RISK_FACTORS,A,distress_tier,agree,,,model-auditor,
CHK-25405f4c6adb83fc,RISK_FACTORS,A,red_flags,disagree,,,model-adjudicator,
CHK-25405f4c6adb83fc,RISK_FACTORS,A,distress_tier,agree,,,model-auditor,
CHK-25beb436152f29d8,MDA,D,sentiment,agree,,,model-auditor,
CHK-25beb436152f29d8,MDA,D,red_flags,agree,,,model-auditor,
CHK-25beb436152f29d8,MDA,D,distress_tier,agree,,,model-auditor,
CHK-260ff9f71cde6085,EX99_PRESS_RELEASE,A,sentiment,agree,,,model-auditor,
CHK-260ff9f71cde6085,EX99_PRESS_RELEASE,A,guidance_direction,agree,,,model-auditor,
CHK-260ff9f71cde6085,EX99_PRESS_RELEASE,A,red_flags,disagree,,,model-adjudicator,
CHK-260ff9f71cde6085,EX99_PRESS_RELEASE,A,distress_tier,agree,,,model-auditor,
CHK-26a8b292ada5a7cb,MDA,A,sentiment,agree,,,model-auditor,
CHK-26a8b292ada5a7cb,MDA,A,red_flags,agree,,,model-auditor,
CHK-26a8b292ada5a7cb,MDA,A,distress_tier,agree,,,model-auditor,
CHK-277d13a1a638dd8e,RISK_FACTORS,A,red_flags,agree,,,model-auditor,
CHK-277d13a1a638dd8e,RISK_FACTORS,A,distress_tier,agree,,,model-auditor,
CHK-27d81a2e10b53249,EX99_PRESS_RELEASE,B,sentiment,agree,,,model-auditor,
CHK-27d81a2e10b53249,EX99_PRESS_RELEASE,B,guidance_direction,agree,,,model-auditor,
CHK-27d81a2e10b53249,EX99_PRESS_RELEASE,B,red_flags,disagree,owner-ratified adjudicator ruling (conf=medium): correct=MARGIN_COST_PRESSURE-REALIZED,,owner,bulk-ratified
CHK-27d81a2e10b53249,EX99_PRESS_RELEASE,B,distress_tier,agree,,,model-auditor,
CHK-286abfb2fd30a6b3,RISK_FACTORS,D,red_flags,disagree,,,model-adjudicator,
CHK-286abfb2fd30a6b3,RISK_FACTORS,D,distress_tier,agree,,,model-auditor,
CHK-28f6fe8c760d02ca,EX99_PRESS_RELEASE,B,sentiment,agree,,,model-auditor,
CHK-28f6fe8c760d02ca,EX99_PRESS_RELEASE,B,guidance_direction,agree,,,model-auditor,
CHK-28f6fe8c760d02ca,EX99_PRESS_RELEASE,B,red_flags,agree,,,model-auditor,
CHK-28f6fe8c760d02ca,EX99_PRESS_RELEASE,B,distress_tier,agree,,,model-auditor,
CHK-2a15272aa49b660f,RISK_FACTORS,A,red_flags,agree,,,model-auditor,
CHK-2a15272aa49b660f,RISK_FACTORS,A,distress_tier,agree,,,model-auditor,
CHK-2a15698f98209cf0,MDA,D,sentiment,agree,,,model-auditor,
CHK-2a15698f98209cf0,MDA,D,red_flags,disagree,,,model-adjudicator,
CHK-2a15698f98209cf0,MDA,D,distress_tier,agree,,,model-auditor,
CHK-2a4e45fa084522cc,RISK_FACTORS,A,red_flags,agree,,,model-auditor,
CHK-2a4e45fa084522cc,RISK_FACTORS,A,distress_tier,agree,,,model-auditor,
CHK-2a67a8f40a82a9fc,RISK_FACTORS,B,red_flags,disagree,,,model-adjudicator,
CHK-2a67a8f40a82a9fc,RISK_FACTORS,B,distress_tier,agree,,,model-auditor,
CHK-2afce152b849ce76,EX99_PRESS_RELEASE,B,sentiment,agree,,,model-auditor,
CHK-2afce152b849ce76,EX99_PRESS_RELEASE,B,guidance_direction,agree,,,model-auditor,
CHK-2afce152b849ce76,EX99_PRESS_RELEASE,B,red_flags,agree,,,model-auditor,
CHK-2afce152b849ce76,EX99_PRESS_RELEASE,B,distress_tier,agree,,,model-auditor,
CHK-2bddf558f6da6b70,EX99_PRESS_RELEASE,B,sentiment,agree,,,model-auditor,
CHK-2bddf558f6da6b70,EX99_PRESS_RELEASE,B,guidance_direction,agree,,,model-auditor,
CHK-2bddf558f6da6b70,EX99_PRESS_RELEASE,B,red_flags,agree,,,model-auditor,
CHK-2bddf558f6da6b70,EX99_PRESS_RELEASE,B,distress_tier,agree,,,model-auditor,
CHK-2c1f39167b159575,MDA,A,sentiment,agree,,,model-auditor,
CHK-2c1f39167b159575,MDA,A,red_flags,disagree,owner-ratified adjudicator ruling (conf=medium): correct=(no flags),,owner,bulk-ratified
CHK-2c1f39167b159575,MDA,A,distress_tier,disagree,owner-ratified adjudicator ruling (conf=high): correct=(no flags),,owner,bulk-ratified
CHK-2cb6879fc6126793,MDA,B,sentiment,agree,,,model-auditor,
CHK-2cb6879fc6126793,MDA,B,red_flags,agree,,,model-auditor,
CHK-2cb6879fc6126793,MDA,B,distress_tier,agree,,,model-auditor,
CHK-2d239bad2509078e,EX99_PRESS_RELEASE,B,sentiment,agree,,,model-auditor,
CHK-2d239bad2509078e,EX99_PRESS_RELEASE,B,guidance_direction,agree,,,model-auditor,
CHK-2d239bad2509078e,EX99_PRESS_RELEASE,B,red_flags,disagree,,,model-adjudicator,
CHK-2d239bad2509078e,EX99_PRESS_RELEASE,B,distress_tier,agree,,,model-auditor,
CHK-2f6149132ba17914,EX99_PRESS_RELEASE,A,sentiment,agree,,,model-auditor,
CHK-2f6149132ba17914,EX99_PRESS_RELEASE,A,guidance_direction,agree,,,model-auditor,
CHK-2f6149132ba17914,EX99_PRESS_RELEASE,A,red_flags,disagree,"owner explicit: use auditor set (adds SUPPLY_INPUT_CONSTRAINT-HYP, DEMAND_WEAKNESS-HYP)",,owner,explicit
CHK-2f6149132ba17914,EX99_PRESS_RELEASE,A,distress_tier,agree,,,model-auditor,
CHK-30df4fbc9f90a44f,MDA,B,sentiment,agree,,,model-auditor,
CHK-30df4fbc9f90a44f,MDA,B,red_flags,agree,,,model-auditor,
CHK-30df4fbc9f90a44f,MDA,B,distress_tier,agree,,,model-auditor,
CHK-321affda719793c4,EX99_PRESS_RELEASE,D,sentiment,agree,,,model-auditor,
CHK-321affda719793c4,EX99_PRESS_RELEASE,D,guidance_direction,agree,,,model-auditor,
CHK-321affda719793c4,EX99_PRESS_RELEASE,D,red_flags,disagree,,,model-adjudicator,
CHK-321affda719793c4,EX99_PRESS_RELEASE,D,distress_tier,agree,,,model-auditor,
CHK-34cc4c61353afc2e,RISK_FACTORS,A,red_flags,agree,,,model-auditor,
CHK-34cc4c61353afc2e,RISK_FACTORS,A,distress_tier,agree,,,model-auditor,
CHK-35e65d1df1712d8c,RISK_FACTORS,A,red_flags,agree,,,model-auditor,
CHK-35e65d1df1712d8c,RISK_FACTORS,A,distress_tier,agree,,,model-auditor,
CHK-3610950810eaae21,RISK_FACTORS,B,red_flags,agree,,,model-auditor,
CHK-3610950810eaae21,RISK_FACTORS,B,distress_tier,agree,,,model-auditor,
CHK-368b20f81522585c,RISK_FACTORS,D,red_flags,disagree,owner-ratified adjudicator ruling (conf=medium): correct=DEMAND_WEAKNESS-HYPOTHETICAL; MARGIN_COST_PRESSURE-HYPOTHETICAL,,owner,bulk-ratified
CHK-368b20f81522585c,RISK_FACTORS,D,distress_tier,agree,,,model-auditor,
CHK-369139100c47ab26,EX99_PRESS_RELEASE,A,sentiment,agree,,,model-auditor,
CHK-369139100c47ab26,EX99_PRESS_RELEASE,A,guidance_direction,agree,,,model-auditor,
CHK-369139100c47ab26,EX99_PRESS_RELEASE,A,red_flags,agree,,,model-auditor,
CHK-369139100c47ab26,EX99_PRESS_RELEASE,A,distress_tier,agree,,,model-auditor,
CHK-36fd4c50691dae2c,RISK_FACTORS,A,red_flags,disagree,owner explicit: use auditor set (adds MARGIN_COST_PRESSURE-HYP),,owner,explicit
CHK-36fd4c50691dae2c,RISK_FACTORS,A,distress_tier,agree,,,model-auditor,
CHK-37071b0d23fc00d8,EX99_PRESS_RELEASE,A,sentiment,agree,,,model-auditor,
CHK-37071b0d23fc00d8,EX99_PRESS_RELEASE,A,guidance_direction,agree,,,model-auditor,
CHK-37071b0d23fc00d8,EX99_PRESS_RELEASE,A,red_flags,agree,,,model-auditor,
CHK-37071b0d23fc00d8,EX99_PRESS_RELEASE,A,distress_tier,agree,,,model-auditor,
CHK-373e8670b6d955b0,MDA,C,sentiment,agree,,,model-auditor,
CHK-373e8670b6d955b0,MDA,C,red_flags,agree,,,model-auditor,
CHK-373e8670b6d955b0,MDA,C,distress_tier,agree,,,model-auditor,
CHK-378cdfb3414be188,RISK_FACTORS,D,red_flags,disagree,owner-ratified adjudicator ruling (conf=medium): correct=LEGAL_REGULATORY_ACTION-REALIZED,,owner,bulk-ratified
CHK-378cdfb3414be188,RISK_FACTORS,D,distress_tier,agree,,,model-auditor,
CHK-37b69f32d979b5da,MDA,D,sentiment,agree,,,model-auditor,
CHK-37b69f32d979b5da,MDA,D,red_flags,agree,,,model-auditor,
CHK-37b69f32d979b5da,MDA,D,distress_tier,agree,,,model-auditor,
CHK-37d29ec6ac235ba0,MDA,C,sentiment,agree,,,model-auditor,
CHK-37d29ec6ac235ba0,MDA,C,red_flags,agree,,,model-auditor,
CHK-37d29ec6ac235ba0,MDA,C,distress_tier,agree,,,model-auditor,
CHK-3846da0e376ca265,EX99_PRESS_RELEASE,B,sentiment,agree,,,model-auditor,
CHK-3846da0e376ca265,EX99_PRESS_RELEASE,B,guidance_direction,agree,,,model-auditor,
CHK-3846da0e376ca265,EX99_PRESS_RELEASE,B,red_flags,agree,,,model-auditor,
CHK-3846da0e376ca265,EX99_PRESS_RELEASE,B,distress_tier,agree,,,model-auditor,
CHK-39e6bb4c54f4be8b,MDA,D,sentiment,disagree,,,model-adjudicator,
CHK-39e6bb4c54f4be8b,MDA,D,red_flags,disagree,,,model-adjudicator,
CHK-39e6bb4c54f4be8b,MDA,D,distress_tier,agree,,,model-auditor,
CHK-3a402e3474536825,RISK_FACTORS,A,red_flags,agree,,,model-auditor,
CHK-3a402e3474536825,RISK_FACTORS,A,distress_tier,agree,,,model-auditor,
CHK-3a7cf6e2ea024596,MDA,D,sentiment,agree,,,model-auditor,
CHK-3a7cf6e2ea024596,MDA,D,red_flags,agree,,,model-auditor,
CHK-3a7cf6e2ea024596,MDA,D,distress_tier,agree,,,model-auditor,
CHK-3a80c5cce8740b57,EX99_PRESS_RELEASE,A,sentiment,agree,,,model-auditor,
CHK-3a80c5cce8740b57,EX99_PRESS_RELEASE,A,guidance_direction,agree,,,model-auditor,
CHK-3a80c5cce8740b57,EX99_PRESS_RELEASE,A,red_flags,disagree,owner-ratified adjudicator ruling (conf=medium): correct=TRADE_POLICY_EXPOSURE-HYPOTHETICAL; IMPAIRMENT_WRITEDOWN-HYPOTHETICAL; MARGIN_COST_PRESSURE-HYPOTHETICAL; SUPPLY_INPUT_CONSTRAINT-HYPOTHETICAL; LEGAL_REGULATORY_ACTION-HYPOTHETICAL,,owner,bulk-ratified
CHK-3a80c5cce8740b57,EX99_PRESS_RELEASE,A,distress_tier,agree,,,model-auditor,
CHK-3acc1a83bf1ac17f,MDA,B,sentiment,agree,,,model-auditor,
CHK-3acc1a83bf1ac17f,MDA,B,red_flags,agree,,,model-auditor,
CHK-3acc1a83bf1ac17f,MDA,B,distress_tier,agree,,,model-auditor,
CHK-3c02dabf73fb5f37,EX99_PRESS_RELEASE,D,sentiment,disagree,owner-ratified adjudicator ruling (conf=medium): correct=NEUTRAL,,owner,bulk-ratified
CHK-3c02dabf73fb5f37,EX99_PRESS_RELEASE,D,guidance_direction,agree,,,model-auditor,
CHK-3c02dabf73fb5f37,EX99_PRESS_RELEASE,D,red_flags,disagree,owner-ratified adjudicator ruling (conf=high): correct=(no flags),,owner,bulk-ratified
CHK-3c02dabf73fb5f37,EX99_PRESS_RELEASE,D,distress_tier,agree,,,model-auditor,
