chunk_id,section_type,primary_tier,field,judgment,field_note,example_note
CHK-14bf9bd81213f972,RISK_FACTORS,A,red_flags,,,
CHK-14bf9bd81213f972,RISK_FACTORS,A,distress_tier,,,
CHK-14cd2d5c71dd774f,RISK_FACTORS,A,red_flags,,,
CHK-14cd2d5c71dd774f,RISK_FACTORS,A,distress_tier,,,
CHK-1595d4aad51bb169,RISK_FACTORS,A,red_flags,,,
CHK-1595d4aad51bb169,RISK_FACTORS,A,distress_tier,,,
CHK-16d66f458883db87,MDA,A,sentiment,,,
CHK-16d66f458883db87,MDA,A,red_flags,,,
CHK-16d66f458883db87,MDA,A,distress_tier,,,
CHK-1810787882124c01,EX99_PRESS_RELEASE,A,sentiment,,,
CHK-1810787882124c01,EX99_PRESS_RELEASE,A,guidance_direction,,,
CHK-1810787882124c01,EX99_PRESS_RELEASE,A,red_flags,,,
CHK-1810787882124c01,EX99_PRESS_RELEASE,A,distress_tier,,,
CHK-1b3bd0967f01aef3,EX99_PRESS_RELEASE,A,sentiment,,,
CHK-1b3bd0967f01aef3,EX99_PRESS_RELEASE,A,guidance_direction,,,
CHK-1b3bd0967f01aef3,EX99_PRESS_RELEASE,A,red_flags,,,
CHK-1b3bd0967f01aef3,EX99_PRESS_RELEASE,A,distress_tier,,,
CHK-1c247a14bc2efbd7,RISK_FACTORS,A,red_flags,,,
CHK-1c247a14bc2efbd7,RISK_FACTORS,A,distress_tier,,,
CHK-1cd9f671d9b9a996,8K_BODY,A,sentiment,,,
CHK-1cd9f671d9b9a996,8K_BODY,A,guidance_direction,,,
CHK-1cd9f671d9b9a996,8K_BODY,A,red_flags,,,
CHK-1cd9f671d9b9a996,8K_BODY,A,distress_tier,,,
CHK-1ef2d821873ab79c,EX99_PRESS_RELEASE,A,sentiment,,,
CHK-1ef2d821873ab79c,EX99_PRESS_RELEASE,A,guidance_direction,,,
CHK-1ef2d821873ab79c,EX99_PRESS_RELEASE,A,red_flags,,,
CHK-1ef2d821873ab79c,EX99_PRESS_RELEASE,A,distress_tier,,,
CHK-20d940b1855c8068,MDA,A,sentiment,,,
CHK-20d940b1855c8068,MDA,A,red_flags,,,
CHK-20d940b1855c8068,MDA,A,distress_tier,,,
CHK-20ff4cbbb46bfdef,RISK_FACTORS,A,red_flags,,,
CHK-20ff4cbbb46bfdef,RISK_FACTORS,A,distress_tier,,,
CHK-2466959db0727c06,RISK_FACTORS,A,red_flags,,,
CHK-2466959db0727c06,RISK_FACTORS,A,distress_tier,,,
CHK-25405f4c6adb83fc,RISK_FACTORS,A,red_flags,,,
CHK-25405f4c6adb83fc,RISK_FACTORS,A,distress_tier,,,
CHK-260ff9f71cde6085,EX99_PRESS_RELEASE,A,sentiment,,,
CHK-260ff9f71cde6085,EX99_PRESS_RELEASE,A,guidance_direction,,,
CHK-260ff9f71cde6085,EX99_PRESS_RELEASE,A,red_flags,,,
CHK-260ff9f71cde6085,EX99_PRESS_RELEASE,A,distress_tier,,,
CHK-26a8b292ada5a7cb,MDA,A,sentiment,,,
CHK-26a8b292ada5a7cb,MDA,A,red_flags,,,
CHK-26a8b292ada5a7cb,MDA,A,distress_tier,,,
CHK-277d13a1a638dd8e,RISK_FACTORS,A,red_flags,,,
CHK-277d13a1a638dd8e,RISK_FACTORS,A,distress_tier,,,
CHK-2a15272aa49b660f,RISK_FACTORS,A,red_flags,,,
CHK-2a15272aa49b660f,RISK_FACTORS,A,distress_tier,,,
CHK-2a4e45fa084522cc,RISK_FACTORS,A,red_flags,,,
CHK-2a4e45fa084522cc,RISK_FACTORS,A,distress_tier,,,
CHK-2c1f39167b159575,MDA,A,sentiment,,,
CHK-2c1f39167b159575,MDA,A,red_flags,,,
CHK-2c1f39167b159575,MDA,A,distress_tier,,,
CHK-2f6149132ba17914,EX99_PRESS_RELEASE,A,sentiment,,,
CHK-2f6149132ba17914,EX99_PRESS_RELEASE,A,guidance_direction,,,
CHK-2f6149132ba17914,EX99_PRESS_RELEASE,A,red_flags,,,
CHK-2f6149132ba17914,EX99_PRESS_RELEASE,A,distress_tier,,,
CHK-34cc4c61353afc2e,RISK_FACTORS,A,red_flags,,,
CHK-34cc4c61353afc2e,RISK_FACTORS,A,distress_tier,,,
CHK-35e65d1df1712d8c,RISK_FACTORS,A,red_flags,,,
CHK-35e65d1df1712d8c,RISK_FACTORS,A,distress_tier,,,
CHK-369139100c47ab26,EX99_PRESS_RELEASE,A,sentiment,,,
CHK-369139100c47ab26,EX99_PRESS_RELEASE,A,guidance_direction,,,
CHK-369139100c47ab26,EX99_PRESS_RELEASE,A,red_flags,,,
CHK-369139100c47ab26,EX99_PRESS_RELEASE,A,distress_tier,,,
CHK-36fd4c50691dae2c,RISK_FACTORS,A,red_flags,,,
CHK-36fd4c50691dae2c,RISK_FACTORS,A,distress_tier,,,
CHK-37071b0d23fc00d8,EX99_PRESS_RELEASE,A,sentiment,,,
CHK-37071b0d23fc00d8,EX99_PRESS_RELEASE,A,guidance_direction,,,
CHK-37071b0d23fc00d8,EX99_PRESS_RELEASE,A,red_flags,,,
CHK-37071b0d23fc00d8,EX99_PRESS_RELEASE,A,distress_tier,,,
CHK-3a402e3474536825,RISK_FACTORS,A,red_flags,,,
CHK-3a402e3474536825,RISK_FACTORS,A,distress_tier,,,
CHK-3a80c5cce8740b57,EX99_PRESS_RELEASE,A,sentiment,,,
CHK-3a80c5cce8740b57,EX99_PRESS_RELEASE,A,guidance_direction,,,
CHK-3a80c5cce8740b57,EX99_PRESS_RELEASE,A,red_flags,,,
CHK-3a80c5cce8740b57,EX99_PRESS_RELEASE,A,distress_tier,,,
CHK-3cceda41247c7e73,RISK_FACTORS,A,red_flags,,,
CHK-3cceda41247c7e73,RISK_FACTORS,A,distress_tier,,,
CHK-3e2616c8ebae2bb3,MDA,A,sentiment,,,
CHK-3e2616c8ebae2bb3,MDA,A,red_flags,,,
CHK-3e2616c8ebae2bb3,MDA,A,distress_tier,,,
CHK-3ff379d9e2a7a646,RISK_FACTORS,A,red_flags,,,
CHK-3ff379d9e2a7a646,RISK_FACTORS,A,distress_tier,,,
CHK-4071496a1e144dd2,EX99_PRESS_RELEASE,A,sentiment,,,
CHK-4071496a1e144dd2,EX99_PRESS_RELEASE,A,guidance_direction,,,
CHK-4071496a1e144dd2,EX99_PRESS_RELEASE,A,red_flags,,,
CHK-4071496a1e144dd2,EX99_PRESS_RELEASE,A,distress_tier,,,
CHK-43c89a19acfb050e,RISK_FACTORS,A,red_flags,,,
CHK-43c89a19acfb050e,RISK_FACTORS,A,distress_tier,,,
CHK-45ffba5774812498,RISK_FACTORS,A,red_flags,,,
CHK-45ffba5774812498,RISK_FACTORS,A,distress_tier,,,
CHK-47796e21159f9b39,MDA,A,sentiment,,,
CHK-47796e21159f9b39,MDA,A,red_flags,,,
CHK-47796e21159f9b39,MDA,A,distress_tier,,,
CHK-48ec091598b2925f,EX99_PRESS_RELEASE,A,sentiment,,,
CHK-48ec091598b2925f,EX99_PRESS_RELEASE,A,guidance_direction,,,
CHK-48ec091598b2925f,EX99_PRESS_RELEASE,A,red_flags,,,
CHK-48ec091598b2925f,EX99_PRESS_RELEASE,A,distress_tier,,,
CHK-4c3bc718fcfa6db8,MDA,A,sentiment,,,
CHK-4c3bc718fcfa6db8,MDA,A,red_flags,,,
CHK-4c3bc718fcfa6db8,MDA,A,distress_tier,,,
CHK-4c89133feeb64a8d,MDA,A,sentiment,,,
CHK-4c89133feeb64a8d,MDA,A,red_flags,,,
CHK-4c89133feeb64a8d,MDA,A,distress_tier,,,
CHK-4d803d67a1a92945,RISK_FACTORS,A,red_flags,,,
CHK-4d803d67a1a92945,RISK_FACTORS,A,distress_tier,,,
CHK-4dad5afec57f4603,RISK_FACTORS,A,red_flags,,,
CHK-4dad5afec57f4603,RISK_FACTORS,A,distress_tier,,,
CHK-4e7221d2ac62dce4,MDA,A,sentiment,,,
CHK-4e7221d2ac62dce4,MDA,A,red_flags,,,
CHK-4e7221d2ac62dce4,MDA,A,distress_tier,,,
CHK-4f661965fb1e06c9,MDA,A,sentiment,,,
CHK-4f661965fb1e06c9,MDA,A,red_flags,,,
CHK-4f661965fb1e06c9,MDA,A,distress_tier,,,
CHK-508cf9c48703c70b,EX99_PRESS_RELEASE,A,sentiment,,,
CHK-508cf9c48703c70b,EX99_PRESS_RELEASE,A,guidance_direction,,,
CHK-508cf9c48703c70b,EX99_PRESS_RELEASE,A,red_flags,,,
CHK-508cf9c48703c70b,EX99_PRESS_RELEASE,A,distress_tier,,,
CHK-56d4c158b30b00f2,RISK_FACTORS,A,red_flags,,,
CHK-56d4c158b30b00f2,RISK_FACTORS,A,distress_tier,,,
CHK-57dfdb966a01e9db,MDA,A,sentiment,,,
CHK-57dfdb966a01e9db,MDA,A,red_flags,,,
CHK-57dfdb966a01e9db,MDA,A,distress_tier,,,
CHK-588b3890c88371a5,RISK_FACTORS,A,red_flags,,,
CHK-588b3890c88371a5,RISK_FACTORS,A,distress_tier,,,
CHK-592a524fbc7249dd,RISK_FACTORS,A,red_flags,,,
CHK-592a524fbc7249dd,RISK_FACTORS,A,distress_tier,,,
CHK-5a303aa31119b72b,MDA,A,sentiment,,,
CHK-5a303aa31119b72b,MDA,A,red_flags,,,
CHK-5a303aa31119b72b,MDA,A,distress_tier,,,
CHK-5d312cc4245254cb,8K_BODY,A,sentiment,,,
CHK-5d312cc4245254cb,8K_BODY,A,guidance_direction,,,
CHK-5d312cc4245254cb,8K_BODY,A,red_flags,,,
CHK-5d312cc4245254cb,8K_BODY,A,distress_tier,,,
CHK-5f365e62c4a7950c,EX99_PRESS_RELEASE,A,sentiment,,,
CHK-5f365e62c4a7950c,EX99_PRESS_RELEASE,A,guidance_direction,,,
CHK-5f365e62c4a7950c,EX99_PRESS_RELEASE,A,red_flags,,,
CHK-5f365e62c4a7950c,EX99_PRESS_RELEASE,A,distress_tier,,,
CHK-5f64ddabd40cf75f,MDA,A,sentiment,,,
CHK-5f64ddabd40cf75f,MDA,A,red_flags,,,
CHK-5f64ddabd40cf75f,MDA,A,distress_tier,,,
CHK-5f7e5bdcee022972,RISK_FACTORS,A,red_flags,,,
CHK-5f7e5bdcee022972,RISK_FACTORS,A,distress_tier,,,
CHK-5fbf95ab7cef5637,RISK_FACTORS,A,red_flags,,,
CHK-5fbf95ab7cef5637,RISK_FACTORS,A,distress_tier,,,
CHK-5ffe78c4df6011a6,RISK_FACTORS,A,red_flags,,,
CHK-5ffe78c4df6011a6,RISK_FACTORS,A,distress_tier,,,
CHK-6063a3925ac456b8,MDA,A,sentiment,,,
CHK-6063a3925ac456b8,MDA,A,red_flags,,,
CHK-6063a3925ac456b8,MDA,A,distress_tier,,,
CHK-614b5db3c8bfdf5c,EX99_PRESS_RELEASE,A,sentiment,,,
CHK-614b5db3c8bfdf5c,EX99_PRESS_RELEASE,A,guidance_direction,,,
CHK-614b5db3c8bfdf5c,EX99_PRESS_RELEASE,A,red_flags,,,
CHK-614b5db3c8bfdf5c,EX99_PRESS_RELEASE,A,distress_tier,,,
CHK-61a3aedc5e017159,RISK_FACTORS,A,red_flags,,,
CHK-61a3aedc5e017159,RISK_FACTORS,A,distress_tier,,,
CHK-6296a8fd3e0d66b0,MDA,A,sentiment,,,
CHK-6296a8fd3e0d66b0,MDA,A,red_flags,,,
CHK-6296a8fd3e0d66b0,MDA,A,distress_tier,,,
CHK-62a07ef9095371ba,RISK_FACTORS,A,red_flags,,,
CHK-62a07ef9095371ba,RISK_FACTORS,A,distress_tier,,,
CHK-633adcb87ea3de35,EX99_PRESS_RELEASE,A,sentiment,,,
CHK-633adcb87ea3de35,EX99_PRESS_RELEASE,A,guidance_direction,,,
CHK-633adcb87ea3de35,EX99_PRESS_RELEASE,A,red_flags,,,
CHK-633adcb87ea3de35,EX99_PRESS_RELEASE,A,distress_tier,,,
CHK-63a7cf3758c4a439,MDA,A,sentiment,,,
CHK-63a7cf3758c4a439,MDA,A,red_flags,,,
CHK-63a7cf3758c4a439,MDA,A,distress_tier,,,
CHK-673bcdde24691f7f,RISK_FACTORS,A,red_flags,,,
CHK-673bcdde24691f7f,RISK_FACTORS,A,distress_tier,,,
CHK-67c694902980a4ad,MDA,A,sentiment,,,
CHK-67c694902980a4ad,MDA,A,red_flags,,,
CHK-67c694902980a4ad,MDA,A,distress_tier,,,
CHK-680ac502fa82dcf7,RISK_FACTORS,A,red_flags,,,
CHK-680ac502fa82dcf7,RISK_FACTORS,A,distress_tier,,,
CHK-6b65cd171cc4e7fb,EX99_PRESS_RELEASE,A,sentiment,,,
CHK-6b65cd171cc4e7fb,EX99_PRESS_RELEASE,A,guidance_direction,,,
CHK-6b65cd171cc4e7fb,EX99_PRESS_RELEASE,A,red_flags,,,
CHK-6b65cd171cc4e7fb,EX99_PRESS_RELEASE,A,distress_tier,,,
CHK-6b834f5689fe50cb,MDA,A,sentiment,,,
CHK-6b834f5689fe50cb,MDA,A,red_flags,,,
CHK-6b834f5689fe50cb,MDA,A,distress_tier,,,
CHK-6fd41b8a9a0a068c,MDA,A,sentiment,,,
CHK-6fd41b8a9a0a068c,MDA,A,red_flags,,,
CHK-6fd41b8a9a0a068c,MDA,A,distress_tier,,,
CHK-70dca87fa269e140,RISK_FACTORS,A,red_flags,,,
CHK-70dca87fa269e140,RISK_FACTORS,A,distress_tier,,,
CHK-712e160926dd0f0f,EX99_PRESS_RELEASE,A,sentiment,,,
CHK-712e160926dd0f0f,EX99_PRESS_RELEASE,A,guidance_direction,,,
CHK-712e160926dd0f0f,EX99_PRESS_RELEASE,A,red_flags,,,
CHK-712e160926dd0f0f,EX99_PRESS_RELEASE,A,distress_tier,,,
CHK-71ae72a62a6050c2,RISK_FACTORS,A,red_flags,,,
CHK-71ae72a62a6050c2,RISK_FACTORS,A,distress_tier,,,
CHK-72b5eb35cf3bc9e9,MDA,A,sentiment,,,
CHK-72b5eb35cf3bc9e9,MDA,A,red_flags,,,
CHK-72b5eb35cf3bc9e9,MDA,A,distress_tier,,,
CHK-7427bd666a2d164d,RISK_FACTORS,A,red_flags,,,
CHK-7427bd666a2d164d,RISK_FACTORS,A,distress_tier,,,
CHK-797963e890d61222,EX99_PRESS_RELEASE,A,sentiment,,,
CHK-797963e890d61222,EX99_PRESS_RELEASE,A,guidance_direction,,,
CHK-797963e890d61222,EX99_PRESS_RELEASE,A,red_flags,,,
CHK-797963e890d61222,EX99_PRESS_RELEASE,A,distress_tier,,,
CHK-79ed6dfdf32fb6a0,EX99_PRESS_RELEASE,A,sentiment,,,
CHK-79ed6dfdf32fb6a0,EX99_PRESS_RELEASE,A,guidance_direction,,,
CHK-79ed6dfdf32fb6a0,EX99_PRESS_RELEASE,A,red_flags,,,
CHK-79ed6dfdf32fb6a0,EX99_PRESS_RELEASE,A,distress_tier,,,
CHK-7e1ec04d5a87c813,RISK_FACTORS,A,red_flags,,,
CHK-7e1ec04d5a87c813,RISK_FACTORS,A,distress_tier,,,
CHK-808a6628c2a2a073,RISK_FACTORS,A,red_flags,,,
CHK-808a6628c2a2a073,RISK_FACTORS,A,distress_tier,,,
CHK-80ca7b8667eae9dc,EX99_PRESS_RELEASE,A,sentiment,,,
CHK-80ca7b8667eae9dc,EX99_PRESS_RELEASE,A,guidance_direction,,,
CHK-80ca7b8667eae9dc,EX99_PRESS_RELEASE,A,red_flags,,,
CHK-80ca7b8667eae9dc,EX99_PRESS_RELEASE,A,distress_tier,,,
CHK-8153748ce0e68c39,MDA,A,sentiment,,,
CHK-8153748ce0e68c39,MDA,A,red_flags,,,
CHK-8153748ce0e68c39,MDA,A,distress_tier,,,
CHK-81a3c6aa50ac835f,MDA,A,sentiment,,,
CHK-81a3c6aa50ac835f,MDA,A,red_flags,,,
CHK-81a3c6aa50ac835f,MDA,A,distress_tier,,,
CHK-85b0d00e0a4be2a2,EX99_PRESS_RELEASE,A,sentiment,,,
CHK-85b0d00e0a4be2a2,EX99_PRESS_RELEASE,A,guidance_direction,,,
CHK-85b0d00e0a4be2a2,EX99_PRESS_RELEASE,A,red_flags,,,
CHK-85b0d00e0a4be2a2,EX99_PRESS_RELEASE,A,distress_tier,,,
CHK-87d7f6be8a95c376,RISK_FACTORS,A,red_flags,,,
CHK-87d7f6be8a95c376,RISK_FACTORS,A,distress_tier,,,
CHK-8ae1b96bc6174d32,MDA,A,sentiment,,,
CHK-8ae1b96bc6174d32,MDA,A,red_flags,,,
CHK-8ae1b96bc6174d32,MDA,A,distress_tier,,,
CHK-8d77e3d537575946,RISK_FACTORS,A,red_flags,,,
CHK-8d77e3d537575946,RISK_FACTORS,A,distress_tier,,,
CHK-9244fa69e814c4d9,RISK_FACTORS,A,red_flags,,,
CHK-9244fa69e814c4d9,RISK_FACTORS,A,distress_tier,,,
CHK-94d805b8d6236902,RISK_FACTORS,A,red_flags,,,
CHK-94d805b8d6236902,RISK_FACTORS,A,distress_tier,,,
CHK-9562c03212c8cf65,MDA,A,sentiment,,,
CHK-9562c03212c8cf65,MDA,A,red_flags,,,
CHK-9562c03212c8cf65,MDA,A,distress_tier,,,
CHK-95a7cf23f319ee70,RISK_FACTORS,A,red_flags,,,
CHK-95a7cf23f319ee70,RISK_FACTORS,A,distress_tier,,,
CHK-9793730b210715ea,EX99_PRESS_RELEASE,A,sentiment,,,
CHK-9793730b210715ea,EX99_PRESS_RELEASE,A,guidance_direction,,,
CHK-9793730b210715ea,EX99_PRESS_RELEASE,A,red_flags,,,
CHK-9793730b210715ea,EX99_PRESS_RELEASE,A,distress_tier,,,
CHK-99f3b96d396824bd,MDA,A,sentiment,,,
CHK-99f3b96d396824bd,MDA,A,red_flags,,,
CHK-99f3b96d396824bd,MDA,A,distress_tier,,,
CHK-9d1e0d800fc185ad,RISK_FACTORS,A,red_flags,,,
CHK-9d1e0d800fc185ad,RISK_FACTORS,A,distress_tier,,,
CHK-9d1f3820572c181c,MDA,A,sentiment,,,
CHK-9d1f3820572c181c,MDA,A,red_flags,,,
CHK-9d1f3820572c181c,MDA,A,distress_tier,,,
CHK-9ecbb75bcc8121dd,MDA,A,sentiment,,,
CHK-9ecbb75bcc8121dd,MDA,A,red_flags,,,
CHK-9ecbb75bcc8121dd,MDA,A,distress_tier,,,
CHK-a0340f0c3259d6f6,MDA,A,sentiment,,,
CHK-a0340f0c3259d6f6,MDA,A,red_flags,,,
CHK-a0340f0c3259d6f6,MDA,A,distress_tier,,,
CHK-a1945d517306b903,EX99_PRESS_RELEASE,A,sentiment,,,
CHK-a1945d517306b903,EX99_PRESS_RELEASE,A,guidance_direction,,,
CHK-a1945d517306b903,EX99_PRESS_RELEASE,A,red_flags,,,
CHK-a1945d517306b903,EX99_PRESS_RELEASE,A,distress_tier,,,
CHK-a3195b49ea58cda0,EX99_PRESS_RELEASE,A,sentiment,,,
CHK-a3195b49ea58cda0,EX99_PRESS_RELEASE,A,guidance_direction,,,
CHK-a3195b49ea58cda0,EX99_PRESS_RELEASE,A,red_flags,,,
CHK-a3195b49ea58cda0,EX99_PRESS_RELEASE,A,distress_tier,,,
CHK-a4c251cece612b75,MDA,A,sentiment,,,
CHK-a4c251cece612b75,MDA,A,red_flags,,,
CHK-a4c251cece612b75,MDA,A,distress_tier,,,
CHK-a577c2ef70bba5da,RISK_FACTORS,A,red_flags,,,
CHK-a577c2ef70bba5da,RISK_FACTORS,A,distress_tier,,,
CHK-a577d6f06c53b689,RISK_FACTORS,A,red_flags,,,
CHK-a577d6f06c53b689,RISK_FACTORS,A,distress_tier,,,
CHK-a5ae56d1c5a0aee6,RISK_FACTORS,A,red_flags,,,
CHK-a5ae56d1c5a0aee6,RISK_FACTORS,A,distress_tier,,,
CHK-a787c4ef45504dd1,EX99_PRESS_RELEASE,A,sentiment,,,
CHK-a787c4ef45504dd1,EX99_PRESS_RELEASE,A,guidance_direction,,,
CHK-a787c4ef45504dd1,EX99_PRESS_RELEASE,A,red_flags,,,
CHK-a787c4ef45504dd1,EX99_PRESS_RELEASE,A,distress_tier,,,
CHK-ac1897ff391a803c,RISK_FACTORS,A,red_flags,,,
CHK-ac1897ff391a803c,RISK_FACTORS,A,distress_tier,,,
CHK-acdfc9342eb16a46,RISK_FACTORS,A,red_flags,,,
CHK-acdfc9342eb16a46,RISK_FACTORS,A,distress_tier,,,
CHK-ada949d3a57decdf,MDA,A,sentiment,,,
CHK-ada949d3a57decdf,MDA,A,red_flags,,,
CHK-ada949d3a57decdf,MDA,A,distress_tier,,,
CHK-b0fc6a0be9c4bf27,MDA,A,sentiment,,,
CHK-b0fc6a0be9c4bf27,MDA,A,red_flags,,,
CHK-b0fc6a0be9c4bf27,MDA,A,distress_tier,,,
CHK-b39eeb19737dd1d0,EX99_PRESS_RELEASE,A,sentiment,,,
CHK-b39eeb19737dd1d0,EX99_PRESS_RELEASE,A,guidance_direction,,,
CHK-b39eeb19737dd1d0,EX99_PRESS_RELEASE,A,red_flags,,,
CHK-b39eeb19737dd1d0,EX99_PRESS_RELEASE,A,distress_tier,,,
CHK-b4544749a5786416,EX99_PRESS_RELEASE,A,sentiment,,,
CHK-b4544749a5786416,EX99_PRESS_RELEASE,A,guidance_direction,,,
CHK-b4544749a5786416,EX99_PRESS_RELEASE,A,red_flags,,,
CHK-b4544749a5786416,EX99_PRESS_RELEASE,A,distress_tier,,,
CHK-b4d83adf862a5660,EX99_PRESS_RELEASE,A,sentiment,,,
CHK-b4d83adf862a5660,EX99_PRESS_RELEASE,A,guidance_direction,,,
CHK-b4d83adf862a5660,EX99_PRESS_RELEASE,A,red_flags,,,
CHK-b4d83adf862a5660,EX99_PRESS_RELEASE,A,distress_tier,,,
CHK-b73feda5daaa6dfe,RISK_FACTORS,A,red_flags,,,
CHK-b73feda5daaa6dfe,RISK_FACTORS,A,distress_tier,,,
CHK-ba1ce66d503b5458,RISK_FACTORS,A,red_flags,,,
CHK-ba1ce66d503b5458,RISK_FACTORS,A,distress_tier,,,
CHK-ba3a1dcd71201c66,MDA,A,sentiment,,,
CHK-ba3a1dcd71201c66,MDA,A,red_flags,,,
CHK-ba3a1dcd71201c66,MDA,A,distress_tier,,,
CHK-bb31b8bd67c539a0,MDA,A,sentiment,,,
CHK-bb31b8bd67c539a0,MDA,A,red_flags,,,
CHK-bb31b8bd67c539a0,MDA,A,distress_tier,,,
CHK-bf0b41252e4ef0df,EX99_PRESS_RELEASE,A,sentiment,,,
CHK-bf0b41252e4ef0df,EX99_PRESS_RELEASE,A,guidance_direction,,,
CHK-bf0b41252e4ef0df,EX99_PRESS_RELEASE,A,red_flags,,,
CHK-bf0b41252e4ef0df,EX99_PRESS_RELEASE,A,distress_tier,,,
CHK-c17d2149a239bbcd,RISK_FACTORS,A,red_flags,,,
CHK-c17d2149a239bbcd,RISK_FACTORS,A,distress_tier,,,
CHK-c660bd098ec54fa1,RISK_FACTORS,A,red_flags,,,
CHK-c660bd098ec54fa1,RISK_FACTORS,A,distress_tier,,,
CHK-c8eaa073478b2fd4,MDA,A,sentiment,,,
CHK-c8eaa073478b2fd4,MDA,A,red_flags,,,
CHK-c8eaa073478b2fd4,MDA,A,distress_tier,,,
CHK-c9e269daefe59113,RISK_FACTORS,A,red_flags,,,
CHK-c9e269daefe59113,RISK_FACTORS,A,distress_tier,,,
CHK-caba5b31603dddd8,MDA,A,sentiment,,,
CHK-caba5b31603dddd8,MDA,A,red_flags,,,
CHK-caba5b31603dddd8,MDA,A,distress_tier,,,
CHK-cb87c70eb0767692,MDA,A,sentiment,,,
CHK-cb87c70eb0767692,MDA,A,red_flags,,,
CHK-cb87c70eb0767692,MDA,A,distress_tier,,,
CHK-cc51004db8216604,RISK_FACTORS,A,red_flags,,,
CHK-cc51004db8216604,RISK_FACTORS,A,distress_tier,,,
CHK-ce2710d1b304bea6,RISK_FACTORS,A,red_flags,,,
CHK-ce2710d1b304bea6,RISK_FACTORS,A,distress_tier,,,
CHK-cf10074322ae7f8e,RISK_FACTORS,A,red_flags,,,
CHK-cf10074322ae7f8e,RISK_FACTORS,A,distress_tier,,,
CHK-cf90587fe93bb404,EX99_PRESS_RELEASE,A,sentiment,,,
CHK-cf90587fe93bb404,EX99_PRESS_RELEASE,A,guidance_direction,,,
CHK-cf90587fe93bb404,EX99_PRESS_RELEASE,A,red_flags,,,
CHK-cf90587fe93bb404,EX99_PRESS_RELEASE,A,distress_tier,,,
CHK-d32e016bdbe8baa1,EX99_PRESS_RELEASE,A,sentiment,,,
CHK-d32e016bdbe8baa1,EX99_PRESS_RELEASE,A,guidance_direction,,,
CHK-d32e016bdbe8baa1,EX99_PRESS_RELEASE,A,red_flags,,,
CHK-d32e016bdbe8baa1,EX99_PRESS_RELEASE,A,distress_tier,,,
CHK-d74facbd628dfc96,RISK_FACTORS,A,red_flags,,,
CHK-d74facbd628dfc96,RISK_FACTORS,A,distress_tier,,,
CHK-d995c3c66ab97bb5,RISK_FACTORS,A,red_flags,,,
CHK-d995c3c66ab97bb5,RISK_FACTORS,A,distress_tier,,,
CHK-d9f9c2729c76438b,MDA,A,sentiment,,,
CHK-d9f9c2729c76438b,MDA,A,red_flags,,,
CHK-d9f9c2729c76438b,MDA,A,distress_tier,,,
CHK-dc0f344324146c32,RISK_FACTORS,A,red_flags,,,
CHK-dc0f344324146c32,RISK_FACTORS,A,distress_tier,,,
CHK-df645fa44dd5db8e,MDA,A,sentiment,,,
CHK-df645fa44dd5db8e,MDA,A,red_flags,,,
CHK-df645fa44dd5db8e,MDA,A,distress_tier,,,
CHK-dfc4e1148876ddab,RISK_FACTORS,A,red_flags,,,
CHK-dfc4e1148876ddab,RISK_FACTORS,A,distress_tier,,,
CHK-e25f70aef007092f,EX99_PRESS_RELEASE,A,sentiment,,,
