acc,company,form,section,d9_words,d9_head
0001193125-15-368662,APACHE CORP,10-Q,MDA,6802,ITEM 2 – MANAGEMENT’S DISCUSSION AND ANALYSIS OF FINANCIAL CONDITION AND RESULTS OF OPERATIONS
0001562762-16-000383,MERCADOLIBRE INC,10-Q,MDA,11978,Item 2 — Management’s Discussion and Analysis of Financial Condition and Results of Operations
0001562762-16-000414,MERCADOLIBRE INC,10-Q,MDA,14820,Item 2 — Management’s Discussion and Analysis of Financial Condition and Results of Operations
0001562762-16-000445,MERCADOLIBRE INC,10-Q,MDA,13123,Item 2 — Management’s Discussion and Analysis of Financial Condition and Results of Operations
0001562762-17-000054,MERCADOLIBRE INC,10-Q,MDA,7959,Item 2 — Management’s Discussion and Analysis of Financial Condition and Results of Operations
0001562762-17-000120,MERCADOLIBRE INC,10-Q,MDA,9293,Item 2 — Management’s Discussion and Analysis of Financial Condition and Results of Operations
0001562762-17-000173,MERCADOLIBRE INC,10-Q,MDA,8804,Item 2 — Management’s Discussion and Analysis of Financial Condition and Results of Operations
0001562762-18-000158,MERCADOLIBRE INC,10-Q,MDA,6294,Item 2 — Management’s Discussion and Analysis of Financial Condition and Results of Operations
0001562762-18-000229,MERCADOLIBRE INC,10-Q,MDA,8107,Item 2 — Management’s Discussion and Analysis of Financial Condition and Results of Operations
0001562762-18-000323,MERCADOLIBRE INC,10-Q,MDA,6936,Item 2 — Management’s Discussion and Analysis of Financial Condition and Results of Operations
0001562762-19-000123,MERCADOLIBRE INC,10-Q,MDA,5870,Item 2 — Management’s Discussion and Analysis of Financial Condition and Results of Operations
0001784031-22-000010,APACHE CORP,10-K,MDA,19905,Item 7—Management’s Discussion and Analysis of Financial Condition and Results of Operations—Capital Resources and
0001784031-23-000008,APACHE CORP,10-K,MDA,20232,Item 7—Management’s Discussion and Analysis of Financial Condition and Results of Operations—Capital Resources and
0001784031-24-000004,APACHE CORP,10-K,MDA,16505,Item 7—Management’s Discussion and Analysis of Financial Condition and Results of Operations—Capital Resources and
