cik,company_name,accession_number,filing_date,words,inc,ext,head,d2_like
40533,GENERAL DYNAMICS CORP,0000040533-17-000006,2017-02-06,2598,False,True,ITEM 1A. RISK FACTORS An investment in our common stock or debt securities is subject to risks and uncertainties. Investors should,False
40533,GENERAL DYNAMICS CORP,0000040533-18-000008,2018-02-12,2567,False,True,ITEM 1A. RISK FACTORS An investment in our common stock or debt securities is subject to risks and uncertainties. Investors should,False
40533,GENERAL DYNAMICS CORP,0000040533-19-000010,2019-02-13,2834,False,True,ITEM 1A. RISK FACTORS An investment in our common stock or debt securities is subject to risks and uncertainties. Investors should,False
40533,GENERAL DYNAMICS CORP,0000040533-20-000015,2020-02-10,2673,False,True,ITEM 1A. RISK FACTORS An investment in our common stock or debt securities is subject to risks and uncertainties. Investors should,False
40533,GENERAL DYNAMICS CORP,0000040533-21-000010,2021-02-09,2956,False,True,ITEM 1A. RISK FACTORS An investment in our common stock or debt securities is subject to risks and uncertainties. Investors should,False
40533,GENERAL DYNAMICS CORP,0000040533-22-000007,2022-02-09,3145,False,True,ITEM 1A. RISK FACTORS An investment in our common stock or debt securities is subject to risks and uncertainties. Investors should,False
40533,GENERAL DYNAMICS CORP,0000040533-23-000014,2023-02-07,3510,False,True,ITEM 1A. RISK FACTORS An investment in our common stock or debt securities is subject to risks and uncertainties. Investors should,False
40533,GENERAL DYNAMICS CORP,0000040533-24-000007,2024-02-08,3380,False,True,ITEM 1A. RISK FACTORS An investment in our common stock or debt securities is subject to risks and uncertainties. Investors should,False
40533,GENERAL DYNAMICS CORP,0000040533-25-000008,2025-02-07,3387,False,True,ITEM 1A. RISK FACTORS An investment in our common stock or debt securities is subject to risks and uncertainties. Investors should,False
40533,GENERAL DYNAMICS CORP,0000040533-26-000006,2026-01-30,3394,False,True,ITEM 1A. RISK FACTORS An investment in our common stock or debt securities is subject to risks and uncertainties. Investors should,False
49826,ILLINOIS TOOL WORKS INC,0000049826-16-000151,2016-02-12,2556,False,True,"ITEM 1A. Risk Factors The Company's business, financial condition, results of operations and cash flows are subject to various ris",False
49826,ILLINOIS TOOL WORKS INC,0000049826-17-000022,2017-02-10,2768,False,True,"ITEM 1A. Risk Factors The Company's business, financial condition, results of operations and cash flows are subject to various ris",False
49826,ILLINOIS TOOL WORKS INC,0000049826-18-000017,2018-02-15,2917,False,True,"ITEM 1A. Risk Factors The Company's business, financial condition, results of operations and cash flows are subject to various ris",False
49826,ILLINOIS TOOL WORKS INC,0000049826-19-000021,2019-02-15,3074,False,True,"ITEM 1A. Risk Factors The Company's business, financial condition, results of operations and cash flows are subject to various ris",False
49826,ILLINOIS TOOL WORKS INC,0000049826-20-000020,2020-02-14,3260,False,True,"ITEM 1A. Risk Factors The Company's business, financial condition, results of operations and cash flows are subject to various ris",False
49826,ILLINOIS TOOL WORKS INC,0000049826-21-000007,2021-02-12,3874,False,True,"ITEM 1A. Risk Factors The Company's business, financial condition, results of operations and cash flows are subject to various ris",False
49826,ILLINOIS TOOL WORKS INC,0000049826-23-000008,2023-02-10,3831,False,True,"ITEM 1A. Risk Factors The Company's business, financial condition, results of operations and cash flows are subject to various ris",False
49826,ILLINOIS TOOL WORKS INC,0000049826-24-000008,2024-02-09,3624,False,True,"ITEM 1A. Risk Factors The Company's business, financial condition, results of operations and cash flows are subject to various ris",False
49826,ILLINOIS TOOL WORKS INC,0000049826-25-000007,2025-02-14,3658,False,True,"ITEM 1A. Risk Factors The Company's business, financial condition, results of operations and cash flows are subject to various ris",False
49826,ILLINOIS TOOL WORKS INC,0000049826-26-000008,2026-02-13,3672,False,True,"ITEM 1A. Risk Factors The Company's business, financial condition, results of operations and cash flows are subject to various ris",False
55785,KIMBERLY CLARK CORP,0000055785-16-000138,2016-02-11,3083,False,False,"ITEM 1A. RISK FACTORS Our business faces many risks and uncertainties that we cannot control. Any of the risks discussed below, as",False
55785,KIMBERLY CLARK CORP,0000055785-17-000017,2017-02-08,2844,False,False,"ITEM 1A. RISK FACTORS Our business faces many risks and uncertainties that we cannot control. Any of the risks discussed below, as",False
55785,KIMBERLY CLARK CORP,0000055785-18-000014,2018-02-08,2871,False,False,"ITEM 1A. RISK FACTORS Our business faces many risks and uncertainties that we cannot control. Any of the risks discussed below, as",False
55785,KIMBERLY CLARK CORP,0000055785-19-000013,2019-02-07,3024,False,True,"ITEM 1A. RISK FACTORS Our business faces many risks and uncertainties that we cannot control. Any of the risks discussed below, as",False
55785,KIMBERLY CLARK CORP,0000055785-20-000016,2020-02-13,3070,False,False,"ITEM 1A. RISK FACTORS Our business faces many risks and uncertainties that we cannot control. Any of the risks discussed below, as",False
55785,KIMBERLY CLARK CORP,0000055785-21-000016,2021-02-11,3278,False,False,"ITEM 1A. RISK FACTORS Our business faces many risks and uncertainties that we cannot control. Any of the risks discussed below, as",False
55785,KIMBERLY CLARK CORP,0000055785-22-000010,2022-02-10,3638,False,False,"ITEM 1A. RISK FACTORS Our business faces many risks and uncertainties that we cannot control. Any of the risks discussed below, as",False
59478,ELI LILLY & Co,0000059478-16-000321,2016-02-19,3782,False,False,"Item 1A. Risk Factors In addition to the other information contained in this Form 10-K, the following risk factors should be consi",False
59478,ELI LILLY & Co,0000059478-17-000098,2017-02-21,3258,False,False,"Item 1A. Risk Factors In addition to the other information contained in this Form 10-K, the following risk factors should be consi",False
59478,ELI LILLY & Co,0000059478-18-000089,2018-02-20,3381,False,False,"Item 1A. Risk Factors In addition to the other information contained in this Form 10-K, the following risk factors should be consi",False
59478,ELI LILLY & Co,0000059478-19-000082,2019-02-19,3745,False,False,"Item 1A. Risk Factors In addition to the other information contained in this Form 10-K, the following risk factors should be consi",False
59478,ELI LILLY & Co,0000059478-20-000057,2020-02-19,3814,False,False,"Item 1A. Risk Factors In addition to the other information contained in this Form 10-K, the following risk factors should be consi",False
63908,MCDONALDS CORP,0000063908-20-000022,2020-02-26,13,False,False,"Item 1A Risk Factors and Cautionary Statement Regarding Forward-Looking Statements Pages 3, 25-30",False
63908,MCDONALDS CORP,0000063908-21-000013,2021-02-23,13,False,False,"Item 1A Risk Factors and Cautionary Statement Regarding Forward-Looking Statements Pages 3, 29-35",False
66740,3M CO,0000066740-22-000010,2022-02-09,3281,True,False,Item 1A. Risk Factors Provided below is a cautionary discussion of what we believe to be the most important risk factors applicabl,False
72741,EVERSOURCE ENERGY,0000072741-16-000063,2016-02-26,3655,False,False,"Item 1A. Risk Factors In addition to the matters set forth under ""Safe Harbor Statement Under the Private Securities Litigation Re",False
72741,EVERSOURCE ENERGY,0000072741-17-000007,2017-02-23,3839,False,False,"Item 1A. Risk Factors In addition to the matters set forth under ""Safe Harbor Statement Under the Private Securities Litigation Re",False
72741,EVERSOURCE ENERGY,0000072741-18-000028,2018-02-26,3925,False,False,"Item 1A. Risk Factors In addition to the matters set forth under ""Safe Harbor Statement Under the Private Securities Litigation Re",False
72741,EVERSOURCE ENERGY,0000072741-19-000017,2019-02-26,3907,False,False,"Item 1A. Risk Factors In addition to the matters set forth under ""Safe Harbor Statement Under the Private Securities Litigation Re",False
72971,WELLS FARGO & COMPANY/MN,0000072971-16-001045,2016-02-24,43,False,True,ITEM 1A. RISK FACTORS Information in response to this Item 1A can be found in this report on pages 2-6 and in the 2015 Annual Repo,False
72971,WELLS FARGO & COMPANY/MN,0000072971-17-000278,2017-03-01,43,False,True,ITEM 1A. RISK FACTORS Information in response to this Item 1A can be found in this report on pages 2-6 and in the 2016 Annual Repo,False
72971,WELLS FARGO & COMPANY/MN,0000072971-18-000272,2018-03-01,43,False,True,ITEM 1A. RISK FACTORS Information in response to this Item 1A can be found in this report on pages 2-6 and in the 2017 Annual Repo,False
72971,WELLS FARGO & COMPANY/MN,0000072971-19-000227,2019-02-27,43,False,True,ITEM 1A. RISK FACTORS Information in response to this Item 1A can be found in this report on pages 2-6 and in the 2018 Annual Repo,False
72971,WELLS FARGO & COMPANY/MN,0000072971-20-000217,2020-02-27,43,False,True,ITEM 1A. RISK FACTORS Information in response to this Item 1A can be found in this report under Item 1 and in the 2019 Annual Repo,False
72971,WELLS FARGO & COMPANY/MN,0000072971-21-000197,2021-02-23,43,False,True,ITEM 1A. RISK FACTORS Information in response to this Item 1A can be found in this report under Item 1 and in the 2020 Annual Repo,False
72971,WELLS FARGO & COMPANY/MN,0000072971-22-000096,2022-02-22,44,False,True,ITEM 1A. RISK FACTORS Information in response to this Item 1A can be found in this report under Item 1 and in the 2021 Annual Repo,False
72971,WELLS FARGO & COMPANY/MN,0000072971-23-000071,2023-02-21,43,False,True,ITEM 1A. RISK FACTORS Information in response to this Item 1A can be found in this report under Item 1 and in the 2022 Annual Repo,False
72971,WELLS FARGO & COMPANY/MN,0000072971-24-000064,2024-02-20,43,False,True,ITEM 1A. RISK FACTORS Information in response to this Item 1A can be found in this report under Item 1 and in the 2023 Annual Repo,False
72971,WELLS FARGO & COMPANY/MN,0000072971-25-000066,2025-02-25,43,False,True,ITEM 1A. RISK FACTORS Information in response to this Item 1A can be found in this report under Item 1 and in the 2024 Annual Repo,False
72971,WELLS FARGO & COMPANY/MN,0000072971-26-000133,2026-02-24,43,False,True,ITEM 1A. RISK FACTORS Information in response to this Item 1A can be found in this report under Item 1 and in the 2025 Annual Repo,False
79879,PPG INDUSTRIES INC,0000079879-16-000065,2016-02-18,2609,False,False,"Item 1A. Risk Factors As a global manufacturer of coatings, specialty materials and glass products, we operate in a business envir",False
79879,PPG INDUSTRIES INC,0000079879-17-000009,2017-02-16,2579,False,False,"Item 1A. Risk Factors As a global manufacturer of coatings, specialty materials and fiber glass products, we operate in a business",False
79879,PPG INDUSTRIES INC,0000079879-18-000010,2018-02-15,2692,False,False,"Item 1A. Risk Factors As a global manufacturer of paints, coatings and specialty materials, we operate in a business environment t",False
79879,PPG INDUSTRIES INC,0000079879-19-000008,2019-02-21,3078,False,False,"Item 1A. Risk Factors As a global manufacturer of paints, coatings and specialty materials, we operate in a business environment t",False
79879,PPG INDUSTRIES INC,0000079879-20-000008,2020-02-20,2901,False,True,"Item 1A. Risk Factors As a global manufacturer of paints, coatings and specialty materials, we operate in a business environment t",False
79879,PPG INDUSTRIES INC,0000079879-21-000008,2021-02-18,3142,False,False,"Item 1A. Risk Factors As a global manufacturer of paints, coatings and specialty materials, we operate in a business environment t",False
79879,PPG INDUSTRIES INC,0000079879-22-000009,2022-02-17,3183,False,False,"Item 1A. Risk Factors As a global manufacturer of paints, coatings and specialty materials, we operate in a business environment t",False
79879,PPG INDUSTRIES INC,0000079879-23-000007,2023-02-16,2961,False,False,"Item 1A. Risk Factors As a global manufacturer of paints, coatings and specialty materials, we operate in a business environment t",False
79879,PPG INDUSTRIES INC,0000079879-24-000040,2024-02-15,3294,False,False,"Item 1A. Risk Factors As a global manufacturer of paints, coatings and specialty materials, we operate in a business environment t",False
79879,PPG INDUSTRIES INC,0000079879-25-000034,2025-02-20,3617,False,False,"Item 1A. Risk Factors As a global manufacturer of paints, coatings and specialty products, we operate in a business environment th",False
79879,PPG INDUSTRIES INC,0000079879-26-000046,2026-02-19,3843,False,False,"Item 1A. Risk Factors As a global manufacturer of paints, coatings and specialty products, we operate in a business environment th",False
80424,PROCTER & GAMBLE Co,0000080424-16-000212,2016-08-09,3388,False,False,"Item 1A. Risk Factors. We discuss our expectations regarding future performance, events and outcomes, such as our business outlook",False
80424,PROCTER & GAMBLE Co,0000080424-17-000047,2017-08-07,3446,False,True,"Item 1A. Risk Factors. We discuss our expectations regarding future performance, events and outcomes, such as our business outlook",False
80424,PROCTER & GAMBLE Co,0000080424-18-000055,2018-08-07,3885,False,True,"Item 1A. Risk Factors. We discuss our expectations regarding future performance, events and outcomes, such as our business outlook",False
80424,PROCTER & GAMBLE Co,0000080424-19-000050,2019-08-06,3963,False,True,"Item 1A. Risk Factors. We discuss our expectations regarding future performance, events and outcomes, such as our business outlook",False
93410,CHEVRON CORP,0000093410-16-000049,2016-02-25,2069,False,False,Item 1A. Risk Factors Chevron is a global energy company and its operating and financial results are subject to a variety of risks,False
93410,CHEVRON CORP,0000093410-17-000013,2017-02-23,2658,False,False,Item 1A. Risk Factors Chevron is a global energy company and its operating and financial results are subject to a variety of risks,False
93410,CHEVRON CORP,0000093410-18-000010,2018-02-22,2728,False,False,Item 1A. Risk Factors Chevron is a global energy company and its operating and financial results are subject to a variety of risks,False
93410,CHEVRON CORP,0000093410-19-000008,2019-02-22,2763,False,False,Item 1A. Risk Factors Chevron is a global energy company and its operating and financial results are subject to a variety of risks,False
93410,CHEVRON CORP,0000093410-20-000010,2020-02-21,3018,False,False,Item 1A. Risk Factors Chevron is a global energy company and its operating and financial results are subject to a variety of risks,False
97476,TEXAS INSTRUMENTS INC,0000097476-20-000009,2020-02-20,1187,True,False,ITEM 1A. Risk factors You should read the following risk factors in conjunction with the factors discussed elsewhere in this and o,False
97476,TEXAS INSTRUMENTS INC,0000097476-21-000006,2021-02-05,3845,True,False,ITEM 1A. Risk factors You should read the following risk factors in conjunction with the factors discussed elsewhere in this and o,False
97476,TEXAS INSTRUMENTS INC,0000097476-22-000009,2022-02-04,3817,True,False,ITEM 1A. Risk factors You should read the following risk factors in conjunction with the factors discussed elsewhere in this and o,False
97476,TEXAS INSTRUMENTS INC,0000097476-23-000007,2023-02-03,3836,True,False,ITEM 1A. Risk factors You should read the following risk factors in conjunction with the factors discussed elsewhere in this and o,False
97476,TEXAS INSTRUMENTS INC,0000097476-24-000007,2024-02-02,3976,True,False,ITEM 1A. Risk factors You should read the following risk factors in conjunction with the factors discussed elsewhere in this and o,False
97476,TEXAS INSTRUMENTS INC,0000097476-25-000007,2025-02-14,3955,True,False,ITEM 1A. Risk factors You should read the following risk factors in conjunction with the factors discussed elsewhere in this and o,False
100885,UNION PACIFIC CORP,0000100885-16-000260,2016-02-05,3227,False,False,tem 1A. Risk Factors The information set forth in this Item 1A should be read in conjunction with the rest of the information incl,False
100885,UNION PACIFIC CORP,0000100885-17-000056,2017-02-03,3267,False,False,tem 1A. Risk Factors ﻿ The information set forth in this Item 1A should be read in conjunction with the rest of the information in,False
100885,UNION PACIFIC CORP,0000100885-18-000048,2018-02-09,3332,False,False,tem 1A. Risk Factors ﻿ The information set forth in this Item 1A should be read in conjunction with the rest of the information in,False
100885,UNION PACIFIC CORP,0000100885-19-000060,2019-02-08,3361,False,False,tem 1A. Risk Factors ﻿ The information set forth in this Item 1A should be read in conjunction with the rest of the information in,False
100885,UNION PACIFIC CORP,0000100885-20-000065,2020-02-07,3693,True,False,"tem 1A. Risk Factors The following discussion addresses significant factors, events and uncertainties that make an investment in o",False
200406,JOHNSON & JOHNSON,0000200406-16-000071,2016-02-24,84,False,False,Item 1A. RISK FACTORS The Company faces a number of uncertainties and risks that are difficult to predict and many of which are ou,False
200406,JOHNSON & JOHNSON,0000200406-17-000006,2017-02-27,3341,False,False,Item 1A. RISK FACTORS The Company faces a number of uncertainties and risks that are difficult to predict and many of which are ou,False
200406,JOHNSON & JOHNSON,0000200406-18-000005,2018-02-21,3469,False,False,Item 1A. RISK FACTORS The Company faces a number of uncertainties and risks that are difficult to predict and many of which are ou,False
200406,JOHNSON & JOHNSON,0000200406-19-000009,2019-02-20,3781,False,False,Item 1A. RISK FACTORS The Company faces a number of uncertainties and risks that are difficult to predict and many of which are ou,False
200406,JOHNSON & JOHNSON,0000200406-20-000010,2020-02-18,3894,False,False,Item 1A. RISK FACTORS The Company faces a number of uncertainties and risks that are difficult to predict and many of which are ou,False
310764,STRYKER CORP,0000310764-16-000226,2016-02-11,3040,False,False,"ITEM 1A. RISK FACTORS. This report contains statements referring to us that are not historical facts and are considered ""forward-l",False
310764,STRYKER CORP,0000310764-17-000034,2017-02-09,3144,False,False,"ITEM 1A. RISK FACTORS. This report contains statements referring to us that are not historical facts and are considered ""forward-l",False
310764,STRYKER CORP,0000310764-18-000031,2018-02-08,3296,False,False,"ITEM 1A. RISK FACTORS. This report contains statements that are not historical facts and are considered ""forward-looking statement",False
310764,STRYKER CORP,0000310764-19-000014,2019-02-07,3564,False,False,"ITEM 1A. RISK FACTORS. This report contains statements that are not historical facts and are considered ""forward-looking statement",False
732712,VERIZON COMMUNICATIONS INC,0000732712-18-000009,2018-02-23,3033,False,False,"Item 1A. Risk Factors The following discussion of ""Risk Factors"" identifies the most significant factors that may adversely affect",False
732712,VERIZON COMMUNICATIONS INC,0000732712-19-000012,2019-02-15,3239,False,False,"Item 1A. Risk Factors The following discussion of ""Risk Factors"" identifies the most significant factors that may adversely affect",False
732712,VERIZON COMMUNICATIONS INC,0000732712-20-000014,2020-02-21,3320,False,False,"Item 1A. Risk Factors The following discussion of ""Risk Factors"" identifies the most significant factors that may adversely affect",False
732712,VERIZON COMMUNICATIONS INC,0000732712-21-000012,2021-02-25,3734,False,False,"Item 1A. Risk Factors The following discussion of ""Risk Factors"" identifies factors that may adversely affect our business, operat",False
732712,VERIZON COMMUNICATIONS INC,0000732712-22-000008,2022-02-11,3825,False,False,"Item 1A. Risk Factors The following discussion of ""Risk Factors"" identifies factors that may adversely affect our business, operat",False
732717,AT&T INC.,0000732717-16-000147,2016-02-18,1001,True,True,"ITEM 1A. RISK FACTORS Information required by this Item is included in the Annual Report under the heading ""Risk Factors"" on pages",True
732717,AT&T INC.,0000732717-17-000021,2017-02-17,1010,True,True,ITEM 1A. RISK FACTORS Information required by this Item is included in the Annual Report under the heading “Risk Factors” on pages,True
732717,AT&T INC.,0000732717-18-000009,2018-02-20,985,True,True,"ITEM 1A. RISK FACTORS Information required by this Item is included in the Annual Report under the heading ""Risk Factors"" on pages",True
797468,OCCIDENTAL PETROLEUM CORP /DE/,0000797468-16-000017,2016-02-26,1793,False,False,ITEM 1A RISK FACTORS Volatile global and local commodity pricing strongly affect Occidental’s results of operations. Occidental's ,False
797468,OCCIDENTAL PETROLEUM CORP /DE/,0000797468-17-000003,2017-02-23,1933,False,False,ITEM 1A RISK FACTORS Volatile global and local commodity pricing strongly affect Occidental’s results of operations. Occidental's ,False
797468,OCCIDENTAL PETROLEUM CORP /DE/,0000797468-18-000005,2018-02-23,2177,False,False,ITEM 1A RISK FACTORS Volatile global and local commodity pricing strongly affect Occidental’s results of operations. Occidental's ,False
797468,OCCIDENTAL PETROLEUM CORP /DE/,0000797468-19-000004,2019-02-21,3378,False,False,ITEM 1A RISK FACTORS Volatile global and local commodity pricing strongly affect Occidental’s results of operations. Occidental's ,False
798354,FISERV INC,0000798354-17-000006,2017-02-23,3845,False,True,"Item 1A. Risk Factors You should carefully consider each of the risks described below, together with all of the other information ",False
798354,FISERV INC,0000798354-18-000005,2018-02-22,3755,False,True,"Item 1A. Risk Factors You should carefully consider each of the risks described below, together with all of the other information ",False
884905,LINDE INC,0000884905-16-000108,2016-02-24,2805,False,False,"ITEM 1A. RISK FACTORS Due to the size and geographic reach of the company’s operations, a wide range of factors, many of which are",False
884905,LINDE INC,0000884905-17-000007,2017-03-01,3291,False,False,"Table of Contents ITEM 1A. RISK FACTORS Due to the size and geographic reach of the company’s operations, a wide range of factors,",False
884905,LINDE INC,0000884905-18-000014,2018-02-28,3221,False,False,"Table of Contents ITEM 1A. RISK FACTORS Due to the size and geographic reach of the company’s operations, a wide range of factors,",False
773840,HONEYWELL INTERNATIONAL INC,0000930413-17-000391,2017-02-10,3292,False,False,Item 1A. Risk Factors Cautionary Statement About Forward-Looking Statements We describe many of the trends and other factors that ,False
1067983,BERKSHIRE HATHAWAY INC,0000950170-23-004451,2023-02-27,2802,False,False,"Item 1A. Ris k Factors Berkshire and its subsidiaries (referred to herein as “we,” “us,” “our” or similar expressions) are subject",False
1067983,BERKSHIRE HATHAWAY INC,0000950170-24-019719,2024-02-26,2879,False,False,"Item 1A. Ris k Factors Berkshire and its subsidiaries (referred to herein as “we,” “us,” “our” or similar expressions) are subject",False
73309,NUCOR CORP,0000950170-24-021195,2024-02-27,3537,False,False,Item 1A . Risk Factors Many of the factors that affect our business and operations involve risk and uncertainty. The factors descr,False
1067983,BERKSHIRE HATHAWAY INC,0000950170-25-025210,2025-02-24,3047,False,False,"Item 1A. Ris k Factors Berkshire and its subsidiaries (referred to herein as “we,” “us,” “our” or similar expressions) are subject",False
73309,NUCOR CORP,0000950170-25-028427,2025-02-27,3567,False,False,Item 1A . Risk Factors Many of the factors that affect our business and operations involve risk and uncertainty. The factors descr,False
1001039,TWDC Enterprises 18 Corp.,0001001039-15-000255,2015-11-25,3924,False,False,"TABLE OF CONTENTS ITEM 1A. Risk Factors For an enterprise as large and complex as the Company, a wide range of factors could mater",False
1800,ABBOTT LABORATORIES,0001047469-16-010246,2016-02-19,83,False,False,"Item 1A. Risk Factors"" of this Form 10-K, may cause actual results to differ materially from current expectations, estimates, proj",False
51143,INTERNATIONAL BUSINESS MACHINES CORP,0001047469-16-010329,2016-02-23,3746,False,False,Item 1A. Risk Factors: Downturn in Economic Environment and Client Spending Budgets could impact the Company's Business: If overal,False
1800,ABBOTT LABORATORIES,0001047469-17-000744,2017-02-17,83,False,False,"Item 1A. Risk Factors"" of this Form 10-K, may cause actual results to differ materially from current expectations, estimates, proj",False
51143,INTERNATIONAL BUSINESS MACHINES CORP,0001047469-17-001061,2017-02-28,3909,False,False,Item 1A. Risk Factors: Downturn in Economic Environment and Client Spending Budgets could impact the Company's Business: If overal,False
1800,ABBOTT LABORATORIES,0001047469-18-000856,2018-02-16,83,False,False,"Item 1A. Risk Factors"" of this Form 10-K, may cause actual results to differ materially from current expectations, estimates, proj",False
1800,ABBOTT LABORATORIES,0001047469-19-000624,2019-02-22,83,False,False,"Item 1A. Risk Factors"" of this Form 10-K, may cause actual results to differ materially from current expectations, estimates, proj",False
1047862,CONSOLIDATED EDISON INC,0001047862-16-000225,2016-02-18,1987,True,False,Item 1A: Risk Factors Information in any item of this report as to which reference is made in this Item 1A is incorporated by refe,False
1047862,CONSOLIDATED EDISON INC,0001047862-17-000029,2017-02-16,2022,True,False,Item 1A: Risk Factors Information in any item of this report as to which reference is made in this Item 1A is incorporated by refe,False
1047862,CONSOLIDATED EDISON INC,0001047862-18-000037,2018-02-15,2220,True,True,Item 1A: Risk Factors Information in any item of this report as to which reference is made in this Item 1A is incorporated by refe,True
1047862,CONSOLIDATED EDISON INC,0001047862-19-000035,2019-02-21,2376,True,True,Item 1A: Risk Factors Information in any item of this report as to which reference is made in this Item 1A is incorporated by refe,True
1047862,CONSOLIDATED EDISON INC,0001047862-20-000041,2020-02-20,2536,True,False,Item 1A: Risk Factors Information in any item of this report as to which reference is made in this Item 1A is incorporated by refe,False
1047862,CONSOLIDATED EDISON INC,0001047862-21-000049,2021-02-18,3144,True,True,Item 1A: Risk Factors Information in any item of this report as to which reference is made in this Item 1A is incorporated by refe,True
1047862,CONSOLIDATED EDISON INC,0001047862-22-000039,2022-02-17,3137,True,False,Item 1A: Risk Factors Information in any item of this report as to which reference is made in this Item 1A is incorporated by refe,False
1047862,CONSOLIDATED EDISON INC,0001047862-23-000038,2023-02-16,3199,True,False,Item 1A: Risk Factors Information in any item of this report as to which reference is made in this Item 1A is incorporated by refe,False
1047862,CONSOLIDATED EDISON INC,0001047862-24-000012,2024-02-15,3177,True,True,Item 1A: Risk Factors 40 CON EDISON ANNUAL REPORT 2023 Information in any item of this report as to which reference is made in thi,True
1047862,CONSOLIDATED EDISON INC,0001047862-25-000011,2025-02-20,3317,True,False,Item 1A: Risk Factors Information in any item of this report as to which reference is made in this Item 1A is incorporated by refe,False
1047862,CONSOLIDATED EDISON INC,0001047862-26-000031,2026-02-19,3596,True,False,Item 1A: Risk Factors Information in any item of this report as to which reference is made in this Item 1A is incorporated by refe,False
1090727,UNITED PARCEL SERVICE INC,0001090727-16-000053,2016-02-25,3898,False,False,"Item 1A. Risk Factors You should carefully consider the following factors, which could materially affect our business, financial c",False
1800,ABBOTT LABORATORIES,0001104659-20-023904,2020-02-21,85,False,False,"Item 1A. Risk Factors” of this Form 10-K, may cause actual results to differ materially from current expectations, estimates, proj",False
1800,ABBOTT LABORATORIES,0001104659-21-025751,2021-02-19,85,False,False,"Item 1A. Risk Factors” of this Form 10-K, may cause actual results to differ materially from current expectations, estimates, proj",False
1800,ABBOTT LABORATORIES,0001104659-22-025141,2022-02-18,85,False,False,"Item 1A. Risk Factors” of this Form 10-K, may cause actual results to differ materially from current expectations, estimates, proj",False
1122304,AETNA INC /PA/,0001122304-16-000201,2016-02-19,30,True,True,"Item 1A. Risk Factors The information contained in the “Forward-Looking Information/Risk Factors” section of the MD&A, which begin",True
1163165,CONOCOPHILLIPS,0001193125-16-472901,2016-02-23,2868,False,True,Item 1A. RISK FACTORS You should carefully consider the following risk factors in addition to the other information included in th,False
732712,VERIZON COMMUNICATIONS INC,0001193125-16-473367,2016-02-23,3101,False,False,tem 1A. Risk Factors The following discussion of “Risk Factors” identifies the most significant factors that may adversely affect ,False
36104,US BANCORP \DE\,0001193125-16-478568,2016-02-25,39,False,True,Item 1A. Risk Factors Information in response to this Item 1A can be found in the Company’s 2015 Annual Report on pages 156 to 166,False
73309,NUCOR CORP,0001193125-16-481119,2016-02-26,3381,False,False,Item 1A. Risk Factors Many of the factors that affect our business and operations involve risk and uncertainty. The factors descri,False
